fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2025-06-30,2025-08-05,0.54,-0.05,0.59,1180.0,post-market
2025-03-31,2025-05-06,0.96,0.93,0.03,3.2258,post-market
2024-12-31,2025-02-04,1.09,1.09,0.0,0.0,post-market
2024-09-30,2024-10-29,0.92,0.92,0.0,0.0,post-market
2024-06-30,2024-07-30,0.69,0.68,0.01,1.4706,post-market
2024-03-31,2024-04-30,0.62,0.61,0.01,1.6393,post-market
2023-12-31,2024-01-30,0.77,0.77,0.0,0.0,post-market
2023-09-30,2023-10-31,0.7,0.68,0.02,2.9412,post-market
2023-06-30,2023-08-01,0.58,0.57,0.01,1.7544,post-market
2023-03-31,2023-05-02,0.6,0.56,0.04,7.1429,post-market
2022-12-31,2023-01-31,0.69,0.67,0.02,2.9851,post-market
2022-09-30,2022-11-01,0.67,0.7,-0.03,-4.2857,post-market
2022-06-30,2022-08-02,1.05,1.04,0.01,0.9615,post-market
2022-03-31,2022-05-03,1.13,0.92,0.21,22.8261,post-market
2021-12-31,2022-02-01,0.92,0.76,0.16,21.0526,post-market
2021-09-30,2021-10-26,0.73,0.66,0.07,10.6061,post-market
2021-06-30,2021-07-27,0.63,0.54,0.09,16.6667,post-market
2021-03-31,2021-04-27,0.52,0.44,0.08,18.1818,post-market
2020-12-31,2021-01-26,0.52,0.48,0.04,8.3333,post-market
2020-09-30,2020-10-27,0.41,0.36,0.05,13.8889,pre-market
2020-06-30,2020-07-28,0.18,0.17,0.01,5.8824,post-market
2020-03-31,2020-04-28,0.18,0.18,0.0,0.0,post-market
2019-12-31,2020-01-28,0.32,0.31,0.01,3.2258,post-market
2019-09-30,2019-10-29,0.18,0.18,0.0,0.0,post-market
2019-06-30,2019-07-30,0.08,0.08,0.0,0.0,post-market
2019-03-31,2019-04-30,0.06,0.06,0.0,0.0,post-market
2018-12-31,2019-01-29,0.08,0.08,0.0,0.0,post-market
2018-09-30,2018-10-24,0.13,0.12,0.01,8.3333,post-market
2018-06-30,2018-07-25,0.14,0.13,0.01,7.6923,post-market
2018-03-31,2018-04-25,0.11,0.09,0.02,22.2222,post-market
2017-12-31,2018-01-30,0.08,0.05,0.03,60.0,post-market
2017-09-30,2017-10-24,0.1,0.08,0.02,25.0,post-market
2017-06-30,2017-07-25,0.02,0.0003,0.0197,6566.6667,post-market
2017-03-31,2017-05-01,-0.04,-0.04,0.0,0.0,post-market
2016-12-31,2017-01-31,-0.01,-0.02,0.01,50.0,post-market
2016-09-30,2016-10-20,0.03,0.004,0.026,650.0,post-market
2016-06-30,2016-07-21,-0.05,-0.09,0.04,44.4444,post-market
2016-03-31,2016-04-21,-0.12,-0.13,0.01,7.6923,post-market
2015-12-31,2016-01-19,-0.1,-0.1,0.0,0.0,post-market
2015-09-30,2015-10-15,-0.17,-0.12,-0.05,-41.6667,post-market
2015-06-30,2015-07-16,-0.17,-0.16,-0.01,-6.25,post-market
2015-03-31,2015-04-16,-0.09,-0.06,-0.03,-50.0,post-market
2014-12-31,2015-01-20,-0.09,0.01,-0.1,-1000.0,post-market
2014-09-30,2014-10-16,0.03,0.04,-0.01,-25.0,post-market
2014-06-30,2014-07-17,0.02,0.03,-0.01,-33.3333,post-market
2014-03-31,2014-04-17,0.02,0.01,0.01,100.0,post-market
2013-12-31,2014-01-21,0.06,0.06,0.0,0.0,post-market
2013-09-30,2013-10-17,0.04,0.02,0.02,100.0,post-market
2013-06-30,2013-07-18,-0.09,-0.12,0.03,25.0,post-market
2013-03-31,2013-04-18,-0.13,-0.17,0.04,23.5294,post-market
2012-12-31,2013-01-22,-0.14,-0.21,0.07,33.3333,post-market
2012-09-30,2012-10-18,-0.2,-0.16,-0.04,-25.0,post-market
2012-06-30,2012-07-19,0.06,0.07,-0.01,-14.2857,post-market
2012-03-31,2012-04-19,0.12,0.09,0.03,33.3333,post-market
2011-12-31,2012-01-24,0.19,0.16,0.03,18.75,post-market
2011-09-30,2011-10-27,0.15,0.1,0.05,50.0,post-market
2011-06-30,2011-07-21,0.09,0.08,0.01,12.5,post-market
2011-03-31,2011-04-21,0.08,0.05,0.03,60.0,post-market
2010-12-31,2011-01-20,0.14,0.11,0.03,27.2727,post-market
2010-09-30,2010-10-14,0.15,0.08,0.07,87.5,post-market
2010-06-30,2010-07-15,0.11,0.06,0.05,83.3333,post-market
2010-03-31,2010-04-15,0.06,-0.07,0.13,185.7143,post-market
2009-12-31,2010-01-21,-0.08,-0.05,-0.03,-60.0,post-market
2009-09-30,2009-10-15,-0.18,-0.45,0.27,60.0,post-market
2009-06-30,2009-07-21,-0.62,-0.51,-0.11,-21.5686,post-market
2009-03-31,2009-04-21,-0.62,-0.63,0.01,1.5873,post-market
2008-12-31,2009-01-22,-0.69,-0.56,-0.13,-23.2143,post-market
2008-09-30,2008-10-16,-0.18,-0.39,0.21,53.8462,post-market
2008-06-30,2008-07-17,-0.6,-0.52,-0.08,-15.3846,post-market
2008-03-31,2008-04-17,-0.51,-0.47,-0.04,-8.5106,post-market
2007-12-31,2008-01-17,-0.17,-0.33,0.16,48.4848,post-market
2007-09-30,2007-10-18,-0.49,-0.61,0.12,19.6721,post-market
2007-06-30,2007-07-19,-0.92,-0.79,-0.13,-16.4557,post-market
2007-03-31,2007-04-19,-0.9,-0.43,-0.47,-109.3023,post-market
2006-12-31,2007-01-23,-0.04,0.12,-0.16,-133.3333,post-market
2006-09-30,2006-10-18,0.23,0.23,0.0,0.0,post-market
2006-06-30,2006-07-20,0.18,0.2,-0.02,-10.0,post-market
2006-03-31,2006-04-12,0.42,0.3,0.12,40.0,post-market
2005-12-31,2006-01-18,0.45,0.26,0.19,73.0769,post-market
2005-09-30,2005-10-11,0.18,0.08,0.1,125.0,post-market
2005-06-30,2005-07-13,0.03,-0.05,0.08,160.0,post-market
2005-03-31,2005-04-13,-0.04,0.02,-0.06,-300.0,post-market
2004-12-31,2005-01-18,0.05,0.07,-0.02,-28.5714,post-market
2004-09-30,2004-10-07,0.12,0.12,0.0,0.0,post-market
2004-06-30,2004-07-14,0.09,0.09,0.0,0.0,post-market
2004-03-31,2004-04-14,0.12,0.03,0.09,300.0,post-market
2003-12-31,2004-01-20,0.09,0.04,0.05,125.0,post-market
2003-09-30,2003-10-16,-0.11,-0.36,0.25,69.4444,post-market
2003-06-30,2003-07-16,-0.4,-0.55,0.15,27.2727,post-market
2003-03-31,2003-04-16,-0.42,-0.49,0.07,14.2857,post-market
2002-12-31,2003-01-16,-0.68,-0.43,-0.25,-58.1395,post-market
2002-09-30,2002-10-16,-0.74,-0.67,-0.07,-10.4478,post-market
2002-06-30,2002-07-17,-0.54,-0.44,-0.1,-22.7273,post-market
2002-03-31,2002-04-17,-0.03,-0.06,0.03,50.0,post-market
2001-12-31,2002-01-16,-0.05,-0.18,0.13,72.2222,post-market
2001-09-30,2001-10-17,-0.28,-0.28,0.0,0.0,post-market
2001-06-30,2001-07-12,0.05,0.04,0.01,25.0,post-market
2001-03-31,2001-04-18,0.37,0.33,0.04,12.1212,post-market
