fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2025-06-30,2025-08-06,0.2904,0.2467,0.0437,17.7138,pre-market
2025-03-31,2025-05-14,0.2247,0.1464,0.0783,53.4836,pre-market
2024-12-31,2025-02-12,0.4074,0.3557,0.0517,14.5347,pre-market
2024-09-30,2024-11-08,0.3665,0.27,0.0965,35.7407,pre-market
2024-06-30,2024-08-07,0.244,0.23,0.014,6.087,pre-market
2024-03-31,2024-05-14,0.208,0.158,0.05,31.6456,pre-market
2023-12-31,2024-02-14,0.4,0.332,0.068,20.4819,pre-market
2023-09-30,2023-11-09,0.224,0.234,-0.01,-4.2735,pre-market
2023-06-30,2023-08-09,35.134,0.204,34.93,17122.549,post-market
2023-03-31,2023-04-28,0.156,0.112,0.044,39.2857,post-market
2022-12-31,2023-02-02,0.374,0.294,0.08,27.2109,pre-market
2022-09-30,2022-11-01,0.308,0.212,0.096,45.283,pre-market
2022-06-30,2022-07-29,0.272,0.258,0.014,5.4264,pre-market
2022-03-31,2022-05-10,0.154,0.172,-0.018,-10.4651,pre-market
2021-12-31,2022-02-02,0.492,0.328,0.164,50.0,pre-market
2021-09-30,2021-10-28,0.312,0.308,0.004,1.2987,pre-market
2021-06-30,2021-08-04,0.312,0.206,0.106,51.4563,pre-market
2021-03-31,2021-04-28,0.16,0.124,0.036,29.0323,post-market
2020-12-31,2021-02-03,0.576,0.16,0.416,260.0,pre-market
2020-09-30,2020-10-28,0.674,0.182,0.492,270.3297,pre-market
2020-06-30,2020-08-04,0.344,0.088,0.256,290.9091,pre-market
2020-03-31,2020-05-13,0.02,0.024,-0.004,-16.6667,pre-market
2019-12-31,2020-02-04,0.336,0.254,0.082,32.2835,pre-market
2019-09-30,2019-10-30,0.276,0.228,0.048,21.0526,pre-market
2019-06-30,2019-07-30,0.216,0.158,0.058,36.7089,post-market
2019-03-31,2019-04-26,0.124,0.038,0.086,226.3158,post-market
2018-12-31,2019-03-07,0.6,0.364,0.236,64.8352,post-market
2018-09-30,2018-10-30,0.24,0.182,0.058,31.8681,post-market
2018-06-30,2018-07-31,0.328,0.232,0.096,41.3793,pre-market
2018-03-31,2018-04-27,-0.024,-0.004,-0.02,-500.0,pre-market
2017-12-31,2018-02-02,0.412,0.23,0.182,79.1304,post-market
2017-09-30,2017-10-31,0.186,0.108,0.078,72.2222,pre-market
2017-06-30,2017-08-01,0.112,0.096,0.016,16.6667,pre-market
2017-03-31,2017-04-28,0.038,-0.016,0.054,337.5,pre-market
2016-12-31,2017-02-22,0.028,0.074,-0.046,-62.1622,post-market
2016-09-30,2016-11-07,0.008,-0.014,0.022,157.1429,pre-market
2016-06-30,2016-07-29,0.03,-0.056,0.086,153.5714,pre-market
2016-03-31,2016-04-28,-0.122,-0.016,-0.106,-662.5,pre-market
2015-12-31,2016-01-29,18.666,-0.116,18.782,16191.3793,pre-market
2015-09-30,2015-10-29,0.0427,,0.0,,post-market
2015-06-30,2015-07-30,0.116,,0.0,,pre-market
2015-03-31,2015-05-03,-0.1534,,0.0,,post-market
2014-12-31,2015-03-17,0.1345,0.102,0.0325,31.8627,pre-market
2014-09-30,2014-10-31,-0.2391,-0.038,-0.2011,-529.2105,pre-market
2014-06-30,2014-07-31,0.0018,,0.0,,pre-market
2014-03-31,2014-06-26,-0.0104,,0.0,,pre-market
2013-12-31,2014-02-06,0.044,0.102,-0.058,-56.8627,pre-market
2013-09-30,2013-10-31,-0.038,0.054,-0.092,-170.3704,pre-market
2013-06-30,2013-07-25,0.286,,0.0,,pre-market
2013-03-31,2013-06-27,0.007,,0.0,,pre-market
2012-12-31,2013-02-07,-0.0011,,0.0,,pre-market
2012-09-30,2012-11-09,-0.0016,,0.0,,pre-market
2012-06-30,2012-08-10,-0.0025,,0.0,,pre-market
2012-03-31,2012-06-27,-0.0256,,0.0,,pre-market
2011-12-31,2012-02-02,-0.406,0.066,-0.472,-715.1515,pre-market
2011-09-30,2011-11-02,-0.07,0.062,-0.132,-212.9032,pre-market
2011-06-30,2011-08-01,-0.038,0.058,-0.096,-165.5172,pre-market
2011-03-31,2011-05-26,-0.934,-0.114,-0.82,-719.2982,pre-market
2010-12-31,2011-03-31,0.007,,0.0,,pre-market
2010-09-30,2010-10-29,0.074,0.012,0.062,516.6667,pre-market
2010-06-30,2010-07-29,0.058,-0.03,0.088,293.3333,pre-market
