event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00155000,155.0,2020-06-26,call,0.0,203.35,204.6,23,0,0.0,0.9974,7e-05,-0.11544,0.00303,2025-08-14T14:05:26.855579
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626P00155000,155.0,2020-06-26,put,0.0,0.0,0.15,0,0,0.0,-0.00038,1e-05,-0.0161,0.00052,2025-08-14T14:05:26.855608
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00160000,160.0,2020-06-26,call,0.0,198.3,199.65,13,0,0.0,0.99708,8e-05,-0.12464,0.00335,2025-08-14T14:05:26.855619
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626P00160000,160.0,2020-06-26,put,0.0,0.0,0.16,0,0,0.0,-0.00042,2e-05,-0.01697,0.00057,2025-08-14T14:05:26.855629
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00165000,165.0,2020-06-26,call,0.0,193.35,194.65,8,0,0.0,0.99642,0.0001,-0.14787,0.00403,2025-08-14T14:05:26.855642
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626P00165000,165.0,2020-06-26,put,0.0,0.0,0.16,0,0,0.0,-0.00041,2e-05,-0.01609,0.00056,2025-08-14T14:05:26.855652
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00170000,170.0,2020-06-26,call,0.0,188.45,189.65,0,0,0.0,0.99522,0.00013,-0.19116,0.00521,2025-08-14T14:05:26.855662
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626P00170000,170.0,2020-06-26,put,0.0,0.0,0.15,0,0,0.0,-0.00044,2e-05,-0.01657,0.0006,2025-08-14T14:05:26.855671
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00175000,175.0,2020-06-26,call,0.0,183.45,184.65,0,0,0.0,0.99518,0.00013,-0.18501,0.00526,2025-08-14T14:05:26.855680
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626P00175000,175.0,2020-06-26,put,0.0,0.0,0.14,0,0,0.0,-0.00047,2e-05,-0.01689,0.00063,2025-08-14T14:05:26.855689
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00180000,180.0,2020-06-26,call,0.0,178.35,179.65,5,0,0.0,0.99607,0.00012,-0.14373,0.00439,2025-08-14T14:05:26.855699
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626P00180000,180.0,2020-06-26,put,0.0,0.0,0.16,1,0,0.0,-0.00044,2e-05,-0.0153,0.0006,2025-08-14T14:05:26.855710
AAPL_2020-06-22_M1_Mac_Launch,M1 Mac Launch,AAPL,2020-06-22,AAPL200626C00185000,185.0,2020-06-26,call,0.0,173.3,174.65,0,0,0.0,0.99656,0.00011,-0.11974,0.00388,2025-08-14T14:05:26.855720
