contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL211022C00075000,AAPL,2021-10-22,75.00,call,70.30,71.60,71.50,63,71.70,63,27,29,2021-10-18,2.51726,0.99625,0.00029,-0.05413,0.00172,0.00815
AAPL211022P00075000,AAPL,2021-10-22,75.00,put,0.01,0.01,0.00,0,0.01,3,0,208,2021-10-18,2.14653,-0.00099,0.00010,-0.01372,0.00051,-0.00002
AAPL211022C00080000,AAPL,2021-10-22,80.00,call,65.90,66.60,66.50,63,66.70,63,2,75,2021-10-18,2.30263,0.99575,0.00035,-0.05536,0.00192,0.00869
AAPL211022P00080000,AAPL,2021-10-22,80.00,put,0.01,0.01,0.00,0,0.01,2,0,0,2021-10-18,1.95142,-0.00109,0.00012,-0.01360,0.00056,-0.00002
AAPL211022C00085000,AAPL,2021-10-22,85.00,call,58.45,61.60,61.50,63,61.70,63,2,157,2021-10-18,2.08800,0.99536,0.00042,-0.05438,0.00208,0.00923
AAPL211022P00085000,AAPL,2021-10-22,85.00,put,0.01,0.01,0.00,0,0.02,23,0,0,2021-10-18,1.77581,-0.00125,0.00015,-0.01408,0.00063,-0.00002
AAPL211022C00090000,AAPL,2021-10-22,90.00,call,50.85,56.60,56.50,63,56.70,10,0,227,2021-10-18,1.89288,0.99476,0.00052,-0.05492,0.00231,0.00977
AAPL211022P00090000,AAPL,2021-10-22,90.00,put,0.01,0.01,0.00,0,0.01,10,0,136,2021-10-18,1.60021,-0.00138,0.00018,-0.01383,0.00069,-0.00002
AAPL211022C00095000,AAPL,2021-10-22,95.00,call,50.10,51.60,51.50,63,51.70,63,12,330,2021-10-18,1.69776,0.99426,0.00063,-0.05340,0.00251,0.01031
AAPL211022P00095000,AAPL,2021-10-22,95.00,put,0.03,0.01,0.00,0,0.01,13,0,347,2021-10-18,1.42460,-0.00143,0.00021,-0.01280,0.00072,-0.00002
AAPL211022C00100000,AAPL,2021-10-22,100.00,call,45.11,46.60,46.50,63,46.70,10,1,210,2021-10-18,1.50265,0.99394,0.00074,-0.04968,0.00263,0.01086
AAPL211022P00100000,AAPL,2021-10-22,100.00,put,0.01,0.01,0.00,0,0.01,1,0,1495,2021-10-18,1.26851,-0.00162,0.00027,-0.01271,0.00080,-0.00003
AAPL211022C00105000,AAPL,2021-10-22,105.00,call,41.00,41.62,41.50,63,41.75,63,1,263,2021-10-18,1.38558,0.99113,0.00113,-0.06397,0.00368,0.01136
AAPL211022P00105000,AAPL,2021-10-22,105.00,put,0.01,0.01,0.00,0,0.01,1,0,1363,2021-10-18,1.13192,-0.00203,0.00037,-0.01397,0.00099,-0.00003
AAPL211022C00110000,AAPL,2021-10-22,110.00,call,37.03,36.62,36.55,21,36.70,63,13,131,2021-10-18,1.20997,0.99005,0.00143,-0.06180,0.00407,0.01189
AAPL211022P00110000,AAPL,2021-10-22,110.00,put,0.00,0.01,0.00,0,0.01,151,0,2303,2021-10-18,0.97583,-0.00212,0.00045,-0.01252,0.00103,-0.00004
AAPL211022C00115000,AAPL,2021-10-22,115.00,call,30.25,31.62,31.55,21,31.70,63,122,160,2021-10-18,1.05388,0.98786,0.00195,-0.06401,0.00484,0.01240
AAPL211022P00115000,AAPL,2021-10-22,115.00,put,0.01,0.01,0.00,0,0.01,39,5,3437,2021-10-18,0.83925,-0.00253,0.00061,-0.01262,0.00120,-0.00004
AAPL211022C00116000,AAPL,2021-10-22,116.00,call,0.00,30.60,30.50,63,30.70,63,0,0,2021-10-18,0.97583,0.99035,0.00173,-0.04861,0.00396,0.01255
AAPL211022P00116000,AAPL,2021-10-22,116.00,put,0.01,0.01,0.00,0,0.03,6,0,7,2021-10-18,0.81974,-0.00283,0.00069,-0.01363,0.00133,-0.00005
AAPL211022C00117000,AAPL,2021-10-22,117.00,call,22.85,29.62,29.55,21,29.70,63,0,1,2021-10-18,0.97583,0.98795,0.00209,-0.05890,0.00481,0.01262
AAPL211022P00117000,AAPL,2021-10-22,117.00,put,0.01,0.01,0.00,0,0.03,1,10,2,2021-10-18,0.78071,-0.00258,0.00067,-0.01197,0.00123,-0.00004
AAPL211022C00118000,AAPL,2021-10-22,118.00,call,21.85,28.62,28.55,21,28.70,63,0,1,2021-10-18,0.95632,0.98660,0.00234,-0.06326,0.00527,0.01271
AAPL211022P00118000,AAPL,2021-10-22,118.00,put,0.01,0.01,0.00,0,0.04,45,0,62,2021-10-18,0.76120,-0.00290,0.00076,-0.01294,0.00136,-0.00005
AAPL211022C00119000,AAPL,2021-10-22,119.00,call,27.60,27.62,27.55,21,27.70,63,7,31,2021-10-18,0.91729,0.98668,0.00243,-0.06040,0.00525,0.01282
AAPL211022P00119000,AAPL,2021-10-22,119.00,put,0.02,0.01,0.00,0,0.02,105,0,34,2021-10-18,0.72218,-0.00262,0.00073,-0.01120,0.00124,-0.00004
AAPL211022C00120000,AAPL,2021-10-22,120.00,call,26.59,26.60,26.50,63,26.70,63,123,233,2021-10-18,0.83925,0.98980,0.00211,-0.04389,0.00416,0.01298
AAPL211022P00120000,AAPL,2021-10-22,120.00,put,0.01,0.01,0.00,0,0.01,52,17,2610,2021-10-18,0.70267,-0.00294,0.00083,-0.01211,0.00138,-0.00005
AAPL211022C00121000,AAPL,2021-10-22,121.00,call,25.60,25.62,25.55,21,25.70,63,7,25,2021-10-18,0.85876,0.98522,0.00284,-0.06182,0.00574,0.01302
AAPL211022P00121000,AAPL,2021-10-22,121.00,put,0.01,0.01,0.00,0,0.02,275,154,100,2021-10-18,0.68315,-0.00332,0.00096,-0.01312,0.00154,-0.00005
AAPL211022C00122000,AAPL,2021-10-22,122.00,call,24.60,24.62,24.55,21,24.70,69,29,34,2021-10-18,0.81974,0.98535,0.00295,-0.05858,0.00569,0.01313
AAPL211022P00122000,AAPL,2021-10-22,122.00,put,0.01,0.01,0.00,0,0.02,145,0,137,2021-10-18,0.64413,-0.00295,0.00091,-0.01114,0.00138,-0.00005
