event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609C00050000,50.0,2023-06-09,call,0.0,129.25,130.3,44,0,0.0,0.99538,0.00014,-0.17319,0.00254,2025-08-13T09:29:13.706902
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609P00050000,50.0,2023-06-09,put,0.0,0.0,0.01,0,0,0.0,-0.00047,2e-05,-0.01561,0.00032,2025-08-13T09:29:13.706923
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609C00060000,60.0,2023-06-09,call,0.0,119.0,120.15,6,0,0.0,1.0,0.0,-0.00835,0.0,2025-08-13T09:29:13.706928
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609P00060000,60.0,2023-06-09,put,0.0,0.0,0.01,0,0,0.0,-0.00055,3e-05,-0.01547,0.00036,2025-08-13T09:29:13.706931
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609C00065000,65.0,2023-06-09,call,0.0,114.15,115.3,3,0,0.0,0.99609,0.00016,-0.11708,0.00218,2025-08-13T09:29:13.706934
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609P00065000,65.0,2023-06-09,put,0.0,0.0,0.01,0,0,0.0,-0.00056,3e-05,-0.01467,0.00037,2025-08-13T09:29:13.706937
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609C00070000,70.0,2023-06-09,call,0.0,109.05,110.3,0,0,0.0,0.99757,0.00012,-0.07043,0.00142,2025-08-13T09:29:13.706939
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609P00070000,70.0,2023-06-09,put,0.0,0.0,0.01,0,0,0.0,-0.00062,4e-05,-0.01489,0.00041,2025-08-13T09:29:13.706942
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609C00075000,75.0,2023-06-09,call,0.0,104.3,105.3,0,0,0.0,0.99298,0.00028,-0.17962,0.00367,2025-08-13T09:29:13.706944
AAPL_2023-06-05_Vision_Pro_Announcement,Vision Pro Announcement,AAPL,2023-06-05,AAPL230609P00075000,75.0,2023-06-09,put,0.0,0.0,0.01,0,0,0.0,-0.00069,5e-05,-0.01538,0.00045,2025-08-13T09:29:13.706947
