event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00025000,25.0,2022-09-02,call,0.0,63.3,63.65,7,0,0.0,1.0,0.0,-0.0016,0.0,2025-08-13T09:35:41.619940
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00025000,25.0,2022-09-02,put,0.0,0.0,0.03,0,0,0.0,-0.00086,8e-05,-0.01398,0.00027,2025-08-13T09:35:41.619956
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00030000,30.0,2022-09-02,call,0.0,58.2,58.65,1,0,0.0,1.0,0.0,-0.00191,0.0,2025-08-13T09:35:41.619965
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00030000,30.0,2022-09-02,put,0.0,0.0,0.03,0,0,0.0,-0.00098,0.0001,-0.01359,0.00031,2025-08-13T09:35:41.619969
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00035000,35.0,2022-09-02,call,0.0,53.05,53.9,6,0,0.0,1.0,0.0,-0.00223,0.0,2025-08-13T09:35:41.619972
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00035000,35.0,2022-09-02,put,0.0,0.0,0.03,0,0,0.0,-0.00113,0.00013,-0.01337,0.00035,2025-08-13T09:35:41.619975
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00040000,40.0,2022-09-02,call,0.0,48.15,49.3,0,0,0.0,0.98484,0.00107,-0.17338,0.00354,2025-08-13T09:35:41.619978
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00040000,40.0,2022-09-02,put,0.0,0.0,0.03,0,0,0.0,-0.00136,0.00018,-0.0137,0.00041,2025-08-13T09:35:41.619981
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00045000,45.0,2022-09-02,call,0.0,43.25,44.3,0,0,0.0,0.9799,0.00152,-0.19717,0.0045,2025-08-13T09:35:41.619984
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00045000,45.0,2022-09-02,put,0.0,0.0,0.03,0,0,0.0,-0.00159,0.00024,-0.01359,0.00048,2025-08-13T09:35:41.619987
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00050000,50.0,2022-09-02,call,0.0,38.35,39.45,1,0,0.0,0.96942,0.00233,-0.25918,0.0064,2025-08-13T09:35:41.619989
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00050000,50.0,2022-09-02,put,0.0,0.0,0.01,1,0,0.0,-0.00188,0.00033,-0.01352,0.00055,2025-08-13T09:35:41.619992
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00055000,55.0,2022-09-02,call,0.0,33.2,34.2,1,0,0.0,0.97827,0.00234,-0.14772,0.00481,2025-08-13T09:35:41.619996
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00055000,55.0,2022-09-02,put,0.0,0.0,0.03,0,0,0.0,-0.00213,0.00044,-0.01272,0.00062,2025-08-13T09:35:41.619999
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00060000,60.0,2022-09-02,call,0.0,28.15,29.35,7,0,0.0,0.97049,0.00347,-0.16593,0.00622,2025-08-13T09:35:41.620002
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00060000,60.0,2022-09-02,put,0.0,0.0,0.01,1,0,0.0,-0.00263,0.00064,-0.01285,0.00075,2025-08-13T09:35:41.620005
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00065000,65.0,2022-09-02,call,0.0,23.35,24.1,4,0,0.0,0.96608,0.00479,-0.15198,0.00698,2025-08-13T09:35:41.620008
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00065000,65.0,2022-09-02,put,0.0,0.0,0.03,207,0,0.0,-0.00293,0.00088,-0.01131,0.00083,2025-08-13T09:35:41.620012
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00070000,70.0,2022-09-02,call,0.0,18.35,18.7,9,0,0.0,0.99531,0.00168,-0.01832,0.00126,2025-08-13T09:35:41.620015
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00070000,70.0,2022-09-02,put,0.0,0.0,0.01,850,0,0.0,-0.00396,0.00148,-0.01166,0.00109,2025-08-13T09:35:41.620018
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00075000,75.0,2022-09-02,call,0.0,13.35,13.8,8,0,0.0,0.97828,0.00701,-0.05278,0.00481,2025-08-13T09:35:41.620021
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00075000,75.0,2022-09-02,put,0.0,0.02,0.03,904,0,0.0,-0.01291,0.00497,-0.02775,0.00308,2025-08-13T09:35:41.620024
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00076000,76.0,2022-09-02,call,0.0,12.3,12.9,4,0,0.0,0.96865,0.00952,-0.07006,0.00654,2025-08-13T09:35:41.620028
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00076000,76.0,2022-09-02,put,0.0,0.03,0.04,160,0,0.0,-0.01748,0.00663,-0.03503,0.004,2025-08-13T09:35:41.620032
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00077000,77.0,2022-09-02,call,0.0,11.4,11.8,56,0,0.0,0.96663,0.01081,-0.06853,0.00688,2025-08-13T09:35:41.620035
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00077000,77.0,2022-09-02,put,0.0,0.05,0.06,345,0,0.0,-0.02362,0.00881,-0.04394,0.00516,2025-08-13T09:35:41.620038
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00078000,78.0,2022-09-02,call,0.0,10.35,10.95,6,0,0.0,0.95227,0.01446,-0.09005,0.00921,2025-08-13T09:35:41.620040
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00078000,78.0,2022-09-02,put,0.0,0.08,0.09,727,0,0.0,-0.03182,0.01162,-0.05472,0.00662,2025-08-13T09:35:41.620043
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00079000,79.0,2022-09-02,call,0.0,9.45,9.9,91,0,0.0,0.94323,0.01752,-0.09752,0.01057,2025-08-13T09:35:41.620046
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00079000,79.0,2022-09-02,put,0.0,0.12,0.13,620,0,0.0,-0.04733,0.01606,-0.07558,0.00914,2025-08-13T09:35:41.620049
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902C00080000,80.0,2022-09-02,call,0.0,8.5,8.9,40,0,0.0,0.93192,0.02138,-0.1057,0.01217,2025-08-13T09:35:41.620051
AMD_2022-08-29_Ryzen_7000_(Zen_4),Ryzen 7000 (Zen 4),AMD,2022-08-29,AMD220902P00080000,80.0,2022-09-02,put,0.0,0.18,0.19,4837,0,0.0,-0.06808,0.02138,-0.1006,0.01217,2025-08-13T09:35:41.620054
