contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMD221104C00025000,AMD,2022-11-04,25.00,call,36.60,35.12,34.85,20,35.40,20,0,62,2022-11-03,5.87327,0.99868,0.00023,-0.04261,0.00014,0.00068
AMD221104P00025000,AMD,2022-11-04,25.00,put,0.01,0.01,0.00,0,0.01,1020,0,885,2022-11-03,6.02937,-0.00165,0.00028,-0.05052,0.00017,-0.00000
AMD221104C00030000,AMD,2022-11-04,30.00,call,30.00,30.12,29.80,1,30.45,20,0,26,2022-11-03,4.68306,0.99845,0.00034,-0.04011,0.00016,0.00082
AMD221104P00030000,AMD,2022-11-04,30.00,put,0.01,0.01,0.00,0,0.01,860,0,975,2022-11-03,4.85866,-0.00212,0.00044,-0.05099,0.00021,-0.00000
AMD221104C00035000,AMD,2022-11-04,35.00,call,24.71,25.12,24.80,1,25.45,20,0,7,2022-11-03,3.66845,0.99821,0.00050,-0.03672,0.00018,0.00096
AMD221104P00035000,AMD,2022-11-04,35.00,put,0.01,0.01,0.00,0,0.01,2175,0,11504,2022-11-03,3.84405,-0.00264,0.00067,-0.04934,0.00026,-0.00000
AMD221104C00040000,AMD,2022-11-04,40.00,call,20.19,20.43,19.80,20,21.05,20,0,2,2022-11-03,4.95622,0.95545,0.00603,-0.73700,0.00296,0.00101
AMD221104P00040000,AMD,2022-11-04,40.00,put,0.02,0.01,0.00,0,0.01,808,54,24789,2022-11-03,2.96603,-0.00345,0.00111,-0.04836,0.00033,-0.00001
AMD221104C00044500,AMD,2022-11-04,44.50,call,0.00,15.88,15.35,20,16.40,20,0,0,2022-11-03,3.72698,0.94944,0.00887,-0.61442,0.00327,0.00113
AMD221104P00044500,AMD,2022-11-04,44.50,put,0.01,0.01,0.00,0,0.01,310,228,2165,2022-11-03,2.24409,-0.00440,0.00183,-0.04554,0.00041,-0.00001
AMD221104C00045000,AMD,2022-11-04,45.00,call,14.10,15.30,14.95,60,15.65,60,40,131,2022-11-03,3.33675,0.95956,0.00828,-0.46085,0.00274,0.00116
AMD221104P00045000,AMD,2022-11-04,45.00,put,0.01,0.01,0.00,0,0.01,348,35,2964,2022-11-03,2.16604,-0.00451,0.00194,-0.04493,0.00042,-0.00001
AMD221104C00045500,AMD,2022-11-04,45.50,call,0.00,14.78,14.30,20,15.25,20,0,0,2022-11-03,3.16114,0.96133,0.00843,-0.42143,0.00264,0.00118
AMD221104P00045500,AMD,2022-11-04,45.50,put,0.01,0.01,0.00,0,0.01,228,4,1220,2022-11-03,2.08800,-0.00461,0.00205,-0.04418,0.00042,-0.00001
AMD221104C00046000,AMD,2022-11-04,46.00,call,14.05,14.40,13.80,20,15.00,20,0,4,2022-11-03,3.43431,0.94280,0.01062,-0.62429,0.00361,0.00116
AMD221104P00046000,AMD,2022-11-04,46.00,put,0.01,0.01,0.00,0,0.01,1821,81,2070,2022-11-03,2.00995,-0.00471,0.00217,-0.04330,0.00043,-0.00001
AMD221104C00046500,AMD,2022-11-04,46.50,call,0.00,13.85,13.30,20,14.40,20,0,0,2022-11-03,3.18065,0.94802,0.01063,-0.53682,0.00335,0.00118
AMD221104P00046500,AMD,2022-11-04,46.50,put,0.01,0.01,0.00,0,0.01,1564,10,4951,2022-11-03,1.95142,-0.00515,0.00242,-0.04555,0.00047,-0.00001
AMD221104C00047000,AMD,2022-11-04,47.00,call,13.55,13.43,12.80,20,14.05,20,0,12,2022-11-03,3.29772,0.93476,0.01225,-0.66412,0.00400,0.00117
AMD221104P00047000,AMD,2022-11-04,47.00,put,0.01,0.01,0.00,0,0.01,177,16,2306,2022-11-03,1.87337,-0.00525,0.00256,-0.04445,0.00047,-0.00001
AMD221104C00047500,AMD,2022-11-04,47.50,call,15.25,12.90,12.35,20,13.45,20,0,1,2022-11-03,3.10261,0.93720,0.01265,-0.60710,0.00388,0.00119
AMD221104P00047500,AMD,2022-11-04,47.50,put,0.01,0.01,0.00,0,0.01,180,7,1412,2022-11-03,1.79532,-0.00533,0.00271,-0.04320,0.00048,-0.00001
