contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
MSFT200911C00145000,MSFT,2020-09-11,145.00,call,61.28,66.38,64.85,68,67.90,93,0,11,2020-09-09,2.16604,0.99242,0.00062,-0.17747,0.00327,0.00785
MSFT200911P00145000,MSFT,2020-09-11,145.00,put,0.02,0.01,0.00,0,0.01,38,0,295,2020-09-09,1.71728,-0.00124,0.00015,-0.02757,0.00064,-0.00001
MSFT200911C00150000,MSFT,2020-09-11,150.00,call,62.21,61.42,59.95,62,62.90,93,10,14,2020-09-09,2.08800,0.98910,0.00088,-0.23490,0.00449,0.00809
MSFT200911P00150000,MSFT,2020-09-11,150.00,put,0.01,0.01,0.00,0,0.01,100,100,349,2020-09-09,1.58069,-0.00141,0.00019,-0.02852,0.00072,-0.00002
MSFT200911C00155000,MSFT,2020-09-11,155.00,call,56.20,56.40,54.90,65,57.90,93,0,1,2020-09-09,1.87337,0.98937,0.00096,-0.20623,0.00440,0.00836
MSFT200911P00155000,MSFT,2020-09-11,155.00,put,0.01,0.01,0.00,0,0.01,19,27,225,2020-09-09,1.44411,-0.00158,0.00023,-0.02890,0.00080,-0.00002
MSFT200911C00160000,MSFT,2020-09-11,160.00,call,46.02,51.38,49.80,70,52.95,111,0,5,2020-09-09,1.65874,0.98999,0.00103,-0.17338,0.00417,0.00865
MSFT200911P00160000,MSFT,2020-09-11,160.00,put,0.01,0.01,0.00,0,0.01,21,31,1554,2020-09-09,1.30753,-0.00174,0.00027,-0.02860,0.00088,-0.00002
MSFT200911C00165000,MSFT,2020-09-11,165.00,call,0.00,46.45,44.80,67,48.10,112,0,0,2020-09-09,1.61972,0.98310,0.00166,-0.26604,0.00656,0.00884
MSFT200911P00165000,MSFT,2020-09-11,165.00,put,0.01,0.01,0.00,0,0.01,38,1000,2136,2020-09-09,1.17095,-0.00189,0.00033,-0.02754,0.00094,-0.00002
MSFT200911C00170000,MSFT,2020-09-11,170.00,call,42.21,41.65,40.05,52,43.25,104,10,15,2020-09-09,1.65874,0.96654,0.00287,-0.48331,0.01165,0.00891
MSFT200911P00170000,MSFT,2020-09-11,170.00,put,0.01,0.01,0.01,1,0.02,47,833,1220,2020-09-09,1.03437,-0.00200,0.00039,-0.02564,0.00099,-0.00002
MSFT200911C00175000,MSFT,2020-09-11,175.00,call,38.00,36.75,35.30,49,38.20,144,21,33,2020-09-09,1.54167,0.95622,0.00384,-0.55928,0.01450,0.00906
MSFT200911P00175000,MSFT,2020-09-11,175.00,put,0.02,0.02,0.01,13,0.03,1,243,890,2020-09-09,0.97583,-0.00408,0.00079,-0.04606,0.00189,-0.00005
MSFT200911C00177500,MSFT,2020-09-11,177.50,call,30.50,34.23,32.75,28,35.70,86,4,36,2020-09-09,1.44411,0.95388,0.00428,-0.54636,0.01512,0.00917
MSFT200911P00177500,MSFT,2020-09-11,177.50,put,0.03,0.04,0.03,8,0.04,5,789,282,2020-09-09,0.99534,-0.00815,0.00143,-0.08672,0.00349,-0.00010
MSFT200911C00180000,MSFT,2020-09-11,180.00,call,31.50,31.65,30.10,53,33.20,146,152,169,2020-09-09,1.28802,0.95807,0.00444,-0.45130,0.01400,0.00936
MSFT200911P00180000,MSFT,2020-09-11,180.00,put,0.05,0.08,0.01,15,0.15,1,515,1393,2020-09-09,0.99534,-0.01348,0.00222,-0.13438,0.00540,-0.00016
MSFT200911C00182500,MSFT,2020-09-11,182.50,call,30.99,29.15,27.60,32,30.70,77,2,6,2020-09-09,1.19046,0.95603,0.00500,-0.43348,0.01455,0.00947
MSFT200911P00182500,MSFT,2020-09-11,182.50,put,0.06,0.07,0.06,12,0.07,1,360,664,2020-09-09,0.91729,-0.01422,0.00252,-0.12968,0.00566,-0.00017
MSFT200911C00185000,MSFT,2020-09-11,185.00,call,28.10,26.62,25.45,8,27.80,45,25,57,2020-09-09,1.09290,0.95381,0.00566,-0.41408,0.01514,0.00958
MSFT200911P00185000,MSFT,2020-09-11,185.00,put,0.08,0.07,0.03,5,0.10,15,1308,1822,2020-09-09,0.83925,-0.01500,0.00289,-0.12428,0.00592,-0.00018
MSFT200911C00187500,MSFT,2020-09-11,187.50,call,19.75,24.02,22.75,13,25.30,42,2,24,2020-09-09,0.93681,0.96057,0.00581,-0.31245,0.01332,0.00980
MSFT200911P00187500,MSFT,2020-09-11,187.50,put,0.08,0.12,0.09,1,0.16,23,460,937,2020-09-09,0.83925,-0.02535,0.00451,-0.19404,0.00925,-0.00030
MSFT200911C00190000,MSFT,2020-09-11,190.00,call,24.30,21.68,20.10,51,23.25,106,24,102,2020-09-09,0.93681,0.94136,0.00799,-0.42900,0.01830,0.00971
