contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
MSFT210625C00125000,MSFT,2021-06-25,125.00,call,0.00,141.27,139.20,24,143.35,20,0,0,2021-06-24,0.01976,1.00000,0.00000,-0.00034,0.00000,0.00342
MSFT210625P00125000,MSFT,2021-06-25,125.00,put,0.02,0.01,0.00,0,0.18,26,0,17,2021-06-24,4.60501,-0.00055,0.00003,-0.06224,0.00027,-0.00000
MSFT210625C00130000,MSFT,2021-06-25,130.00,call,0.00,136.27,134.20,24,138.35,20,0,0,2021-06-24,0.01976,1.00000,0.00000,-0.00036,0.00000,0.00356
MSFT210625P00130000,MSFT,2021-06-25,130.00,put,0.01,0.01,0.00,0,0.01,7,0,4,2021-06-24,4.37087,-0.00057,0.00003,-0.06087,0.00028,-0.00000
MSFT210625C00135000,MSFT,2021-06-25,135.00,call,123.25,131.27,129.20,24,133.35,20,0,2,2021-06-24,0.01976,1.00000,0.00000,-0.00037,0.00000,0.00370
MSFT210625P00135000,MSFT,2021-06-25,135.00,put,0.00,0.01,0.00,0,0.05,27,0,0,2021-06-24,4.15624,-0.00060,0.00004,-0.06114,0.00029,-0.00000
MSFT210625C00140000,MSFT,2021-06-25,140.00,call,117.64,126.25,124.15,24,128.35,20,0,10,2021-06-24,0.01976,1.00000,0.00000,-0.00038,0.00000,0.00384
MSFT210625P00140000,MSFT,2021-06-25,140.00,put,0.05,0.01,0.00,0,0.18,26,0,2,2021-06-24,3.94161,-0.00063,0.00004,-0.06018,0.00031,-0.00000
MSFT210625C00145000,MSFT,2021-06-25,145.00,call,100.80,121.25,119.15,24,123.35,20,0,8,2021-06-24,0.01976,1.00000,0.00000,-0.00040,0.00000,0.00397
MSFT210625P00145000,MSFT,2021-06-25,145.00,put,0.04,0.01,0.00,0,0.18,26,0,174,2021-06-24,3.74649,-0.00067,0.00004,-0.06127,0.00033,-0.00001
MSFT210625C00150000,MSFT,2021-06-25,150.00,call,0.00,116.25,114.15,24,118.35,20,0,0,2021-06-24,0.01976,1.00000,0.00000,-0.00041,0.00000,0.00411
MSFT210625P00150000,MSFT,2021-06-25,150.00,put,0.10,0.01,0.00,0,0.01,2,0,5,2021-06-24,3.55138,-0.00071,0.00005,-0.06127,0.00035,-0.00001
MSFT210625C00155000,MSFT,2021-06-25,155.00,call,109.95,111.25,109.15,24,113.35,20,0,4,2021-06-24,0.01976,1.00000,0.00000,-0.00042,0.00000,0.00425
MSFT210625P00155000,MSFT,2021-06-25,155.00,put,0.19,0.01,0.00,0,4.30,1,0,3,2021-06-24,3.35626,-0.00074,0.00005,-0.06012,0.00036,-0.00001
MSFT210625C00160000,MSFT,2021-06-25,160.00,call,91.02,106.25,104.15,24,108.35,20,0,1,2021-06-24,0.01976,1.00000,0.00000,-0.00044,0.00000,0.00438
MSFT210625P00160000,MSFT,2021-06-25,160.00,put,0.07,0.01,0.00,0,0.05,1,0,3,2021-06-24,3.18065,-0.00081,0.00006,-0.06162,0.00039,-0.00001
MSFT210625C00165000,MSFT,2021-06-25,165.00,call,99.25,101.28,99.20,24,103.35,20,0,7,2021-06-24,0.01976,1.00000,0.00000,-0.00045,0.00000,0.00452
MSFT210625P00165000,MSFT,2021-06-25,165.00,put,0.01,0.01,0.00,0,0.01,2,0,35,2021-06-24,2.98554,-0.00081,0.00007,-0.05810,0.00039,-0.00001
MSFT210625C00170000,MSFT,2021-06-25,170.00,call,96.88,96.25,94.15,24,98.35,20,2,3,2021-06-24,0.01976,1.00000,0.00000,-0.00047,0.00000,0.00466
MSFT210625P00170000,MSFT,2021-06-25,170.00,put,0.02,0.01,0.00,0,0.18,26,0,14,2021-06-24,2.82944,-0.00092,0.00008,-0.06167,0.00044,-0.00001
MSFT210625C00175000,MSFT,2021-06-25,175.00,call,0.00,91.25,89.15,24,93.35,20,0,0,2021-06-24,0.01976,1.00000,0.00000,-0.00048,0.00000,0.00479
MSFT210625P00175000,MSFT,2021-06-25,175.00,put,0.00,0.01,0.00,0,0.18,26,0,41,2021-06-24,2.65384,-0.00096,0.00009,-0.06006,0.00045,-0.00001
MSFT210625C00180000,MSFT,2021-06-25,180.00,call,80.70,86.25,84.15,24,88.35,20,0,6,2021-06-24,0.01976,1.00000,0.00000,-0.00049,0.00000,0.00493
MSFT210625P00180000,MSFT,2021-06-25,180.00,put,0.01,0.01,0.00,0,0.01,1,0,80,2021-06-24,2.47823,-0.00098,0.00010,-0.05729,0.00046,-0.00001
MSFT210625C00185000,MSFT,2021-06-25,185.00,call,80.00,81.25,79.15,24,83.35,20,0,2,2021-06-24,0.01976,1.00000,0.00000,-0.00051,0.00000,0.00507
MSFT210625P00185000,MSFT,2021-06-25,185.00,put,0.02,0.01,0.00,0,0.17,26,0,280,2021-06-24,2.32214,-0.00107,0.00011,-0.05812,0.00050,-0.00001
MSFT210625C00190000,MSFT,2021-06-25,190.00,call,74.40,76.25,74.15,24,78.35,20,0,2,2021-06-24,0.01976,1.00000,0.00000,-0.00052,0.00000,0.00521
MSFT210625P00190000,MSFT,2021-06-25,190.00,put,0.02,0.01,0.00,0,0.18,26,0,108,2021-06-24,2.16604,-0.00115,0.00013,-0.05807,0.00054,-0.00001
MSFT210625C00195000,MSFT,2021-06-25,195.00,call,70.79,71.25,69.15,24,73.35,20,0,13,2021-06-24,0.01976,1.00000,0.00000,-0.00053,0.00000,0.00534
