event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00160000,160.0,2022-10-14,call,0.0,65.1,66.5,10,0,0.0,0.99747,0.00028,-0.06905,0.00131,2025-08-13T09:31:19.627551
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00160000,160.0,2022-10-14,put,0.0,0.0,0.01,2,0,0.0,-0.00134,0.00017,-0.02906,0.00074,2025-08-13T09:31:19.627566
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00165000,165.0,2022-10-14,call,0.0,60.1,61.5,0,0,0.0,0.99721,0.00033,-0.0697,0.00143,2025-08-13T09:31:19.627570
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00165000,165.0,2022-10-14,put,0.0,0.0,0.01,0,0,0.0,-0.00141,0.00019,-0.02772,0.00077,2025-08-13T09:31:19.627574
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00170000,170.0,2022-10-14,call,0.0,55.1,57.9,1,0,0.0,0.95764,0.00231,-0.89659,0.01509,2025-08-13T09:31:19.627593
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00170000,170.0,2022-10-14,put,0.0,0.0,0.01,0,0,0.0,-0.00165,0.00024,-0.02949,0.00089,2025-08-13T09:31:19.627597
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00175000,175.0,2022-10-14,call,0.0,49.85,52.35,0,0,0.0,0.97408,0.00197,-0.47588,0.01007,2025-08-13T09:31:19.627602
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00175000,175.0,2022-10-14,put,0.0,0.0,0.01,0,0,0.0,-0.00166,0.00027,-0.02665,0.0009,2025-08-13T09:31:19.627605
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00180000,180.0,2022-10-14,call,0.0,45.05,47.7,0,0,0.0,0.95578,0.00299,-0.74575,0.01562,2025-08-13T09:31:19.627609
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00180000,180.0,2022-10-14,put,0.0,0.0,0.01,40,0,0.0,-0.00191,0.00034,-0.02727,0.00102,2025-08-13T09:31:19.627613
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00185000,185.0,2022-10-14,call,0.0,40.1,42.1,0,0,0.0,0.96924,0.0028,-0.44545,0.01161,2025-08-13T09:31:19.627617
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00185000,185.0,2022-10-14,put,0.0,0.01,0.02,58,0,0.0,-0.00219,0.00043,-0.02742,0.00115,2025-08-13T09:31:19.627621
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00190000,190.0,2022-10-14,call,0.0,35.0,36.75,0,0,0.0,0.98513,0.00206,-0.18733,0.00628,2025-08-13T09:31:19.627625
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00190000,190.0,2022-10-14,put,0.0,0.01,0.03,951,0,0.0,-0.00427,0.00084,-0.04702,0.0021,2025-08-13T09:31:19.627628
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00195000,195.0,2022-10-14,call,0.0,30.15,31.55,0,0,0.0,0.98743,0.00217,-0.13819,0.00543,2025-08-13T09:31:19.627632
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00195000,195.0,2022-10-14,put,0.0,0.03,0.05,170,0,0.0,-0.00841,0.00163,-0.0801,0.00383,2025-08-13T09:31:19.627635
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00200000,200.0,2022-10-14,call,0.0,25.15,27.1,2,0,0.0,0.9538,0.00582,-0.41852,0.01618,2025-08-13T09:31:19.627639
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00200000,200.0,2022-10-14,put,0.0,0.06,0.07,836,0,0.0,-0.01461,0.00291,-0.11744,0.00619,2025-08-13T09:31:19.627651
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00205000,205.0,2022-10-14,call,0.0,20.7,21.6,18,0,0.0,0.93957,0.00835,-0.44586,0.02002,2025-08-13T09:31:19.627656
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00205000,205.0,2022-10-14,put,0.0,0.1,0.15,558,0,0.0,-0.02648,0.00537,-0.1745,0.01025,2025-08-13T09:31:19.627659
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00210000,210.0,2022-10-14,call,0.0,15.7,16.6,97,0,0.0,0.92768,0.01206,-0.40921,0.02301,2025-08-13T09:31:19.627663
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00210000,210.0,2022-10-14,put,0.0,0.29,0.32,2499,0,0.0,-0.06128,0.01125,-0.32469,0.02024,2025-08-13T09:31:19.627666
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00212500,212.5,2022-10-14,call,0.0,13.45,14.2,33,0,0.0,0.89603,0.01628,-0.51644,0.03017,2025-08-13T09:31:19.627669
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00212500,212.5,2022-10-14,put,0.0,0.47,0.51,820,0,0.0,-0.0975,0.016,-0.46168,0.02879,2025-08-13T09:31:19.627672
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00215000,215.0,2022-10-14,call,0.0,11.4,12.1,75,0,0.0,0.83975,0.02133,-0.71012,0.0407,2025-08-13T09:31:19.627675
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00215000,215.0,2022-10-14,put,0.0,0.72,0.78,3397,0,0.0,-0.13963,0.02129,-0.57703,0.03713,2025-08-13T09:31:19.627679
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00217500,217.5,2022-10-14,call,0.0,9.3,9.65,54,0,0.0,0.79729,0.02704,-0.75087,0.04716,2025-08-13T09:31:19.627682
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00217500,217.5,2022-10-14,put,0.0,1.11,1.21,1551,0,0.0,-0.19563,0.02732,-0.69453,0.04616,2025-08-13T09:31:19.627685
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00220000,220.0,2022-10-14,call,0.0,7.45,7.65,530,0,0.0,0.72647,0.03291,-0.85448,0.05561,2025-08-13T09:31:19.627689
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00220000,220.0,2022-10-14,put,0.0,1.72,1.77,5990,0,0.0,-0.27353,0.03291,-0.83592,0.05561,2025-08-13T09:31:19.627692
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00222500,222.5,2022-10-14,call,0.0,5.7,5.95,610,0,0.0,0.6368,0.03711,-0.96026,0.06271,2025-08-13T09:31:19.627695
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00222500,222.5,2022-10-14,put,0.0,2.52,2.79,4522,0,0.0,-0.36678,0.03607,-0.97521,0.06291,2025-08-13T09:31:19.627698
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00225000,225.0,2022-10-14,call,0.0,4.35,4.5,4234,0,0.0,0.54001,0.03925,-1.01334,0.06633,2025-08-13T09:31:19.627702
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00225000,225.0,2022-10-14,put,0.0,3.55,3.65,6185,0,0.0,-0.45999,0.03925,-0.99436,0.06633,2025-08-13T09:31:19.627705
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00227500,227.5,2022-10-14,call,0.0,3.1,3.25,7198,0,0.0,0.43937,0.0403,-0.9728,0.06589,2025-08-13T09:31:19.627709
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00227500,227.5,2022-10-14,put,0.0,4.85,5.1,5705,0,0.0,-0.55813,0.03903,-0.98673,0.06596,2025-08-13T09:31:19.627713
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00230000,230.0,2022-10-14,call,0.0,2.09,2.27,10520,0,0.0,0.34285,0.03756,-0.90559,0.06142,2025-08-13T09:31:19.627715
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00230000,230.0,2022-10-14,put,0.0,6.35,6.5,684,0,0.0,-0.65715,0.03756,-0.88619,0.06142,2025-08-13T09:31:19.627719
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00232500,232.5,2022-10-14,call,0.0,1.38,1.49,6765,0,0.0,0.25652,0.03292,-0.79278,0.05383,2025-08-13T09:31:19.627723
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00232500,232.5,2022-10-14,put,0.0,8.05,8.55,164,0,0.0,-0.73617,0.03232,-0.81143,0.05461,2025-08-13T09:31:19.627726
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00235000,235.0,2022-10-14,call,0.0,0.89,0.95,6994,0,0.0,0.18384,0.02717,-0.65389,0.04443,2025-08-13T09:31:19.627729
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00235000,235.0,2022-10-14,put,0.0,9.9,10.55,356,0,0.0,-0.80795,0.02701,-0.67427,0.04565,2025-08-13T09:31:19.627734
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00237500,237.5,2022-10-14,call,0.0,0.53,0.58,3014,0,0.0,0.11783,0.02088,-0.46923,0.033,2025-08-13T09:31:19.627740
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014P00237500,237.5,2022-10-14,put,0.0,11.85,12.7,76,0,0.0,-0.88217,0.02088,-0.44919,0.033,2025-08-13T09:31:19.627743
MSFT_2022-10-12_Surface_Pro_9,Surface Pro 9,MSFT,2022-10-12,MSFT221014C00240000,240.0,2022-10-14,call,0.0,0.32,0.33,5948,0,0.0,0.07553,0.01505,-0.33799,0.02378,2025-08-13T09:31:19.627746
