event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00170000,170.0,2023-09-22,call,0.0,148.75,150.4,102,0,0.0,0.99922,4e-05,-0.1133,0.00045,2025-08-13T09:23:46.162123
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00170000,170.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.00057,3e-05,-0.0642,0.00034,2025-08-13T09:23:46.162139
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00180000,180.0,2023-09-22,call,0.0,138.95,140.3,10,0,0.0,0.9971,0.00013,-0.33267,0.00148,2025-08-13T09:23:46.162144
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00180000,180.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.00062,4e-05,-0.06294,0.00036,2025-08-13T09:23:46.162147
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00190000,190.0,2023-09-22,call,0.0,128.95,130.4,33,0,0.0,0.99467,0.00023,-0.54673,0.00256,2025-08-13T09:23:46.162150
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00190000,190.0,2023-09-22,put,0.0,0.0,0.46,0,0,0.0,-0.00067,4e-05,-0.06207,0.00039,2025-08-13T09:23:46.162153
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00200000,200.0,2023-09-22,call,0.0,118.95,121.25,0,0,0.0,0.98198,0.00059,-1.70588,0.00741,2025-08-13T09:23:46.162156
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00200000,200.0,2023-09-22,put,0.0,0.0,0.1,0,0,0.0,-0.00075,5e-05,-0.06211,0.00043,2025-08-13T09:23:46.162158
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00205000,205.0,2023-09-22,call,0.0,113.95,115.35,0,0,0.0,0.99516,0.00025,-0.42844,0.00235,2025-08-13T09:23:46.162161
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00205000,205.0,2023-09-22,put,0.0,0.0,0.46,0,0,0.0,-0.00075,6e-05,-0.05868,0.00043,2025-08-13T09:23:46.162164
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00210000,210.0,2023-09-22,call,0.0,108.95,110.9,0,0,0.0,0.9849,0.00059,-1.26654,0.00637,2025-08-13T09:23:46.162167
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00210000,210.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.00079,6e-05,-0.05893,0.00045,2025-08-13T09:23:46.162170
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00215000,215.0,2023-09-22,call,0.0,103.95,105.4,0,0,0.0,0.9934,0.00035,-0.52026,0.0031,2025-08-13T09:23:46.162173
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00215000,215.0,2023-09-22,put,0.0,0.0,0.46,0,0,0.0,-0.00083,7e-05,-0.05848,0.00048,2025-08-13T09:23:46.162175
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00220000,220.0,2023-09-22,call,0.0,98.95,100.75,0,0,0.0,0.98615,0.00063,-1.02977,0.00591,2025-08-13T09:23:46.162178
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00220000,220.0,2023-09-22,put,0.0,0.0,0.46,0,0,0.0,-0.00087,8e-05,-0.05727,0.00049,2025-08-13T09:23:46.162181
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00225000,225.0,2023-09-22,call,0.0,93.85,95.95,5,0,0.0,0.98392,0.00074,-1.1273,0.00672,2025-08-13T09:23:46.162184
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00225000,225.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.00097,9e-05,-0.06058,0.00055,2025-08-13T09:23:46.162186
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00230000,230.0,2023-09-22,call,0.0,88.85,90.45,0,0,0.0,0.99391,0.0004,-0.40425,0.00288,2025-08-13T09:23:46.162189
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00230000,230.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.00099,0.0001,-0.05786,0.00056,2025-08-13T09:23:46.162191
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00235000,235.0,2023-09-22,call,0.0,83.75,86.4,0,0,0.0,0.97517,0.00111,-1.55044,0.00972,2025-08-13T09:23:46.162195
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00235000,235.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.0011,0.00011,-0.06011,0.00062,2025-08-13T09:23:46.162198
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00240000,240.0,2023-09-22,call,0.0,78.95,81.2,1,0,0.0,0.97415,0.00123,-1.50471,0.01005,2025-08-13T09:23:46.162200
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00240000,240.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.0011,0.00012,-0.05568,0.00061,2025-08-13T09:23:46.162203
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00245000,245.0,2023-09-22,call,0.0,73.95,75.55,0,0,0.0,0.98711,0.00085,-0.68604,0.00556,2025-08-13T09:23:46.162206
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922P00245000,245.0,2023-09-22,put,0.0,0.0,0.01,0,0,0.0,-0.0012,0.00014,-0.05659,0.00067,2025-08-13T09:23:46.162209
MSFT_2023-09-21_Copilot_for_Windows,Copilot for Windows,MSFT,2023-09-21,MSFT230922C00250000,250.0,2023-09-22,call,0.0,68.95,70.65,16,0,0.0,0.98348,0.00109,-0.81446,0.00688,2025-08-13T09:23:46.162212
