contract_id,underlying_ticker,expiration,strike,option_type,last_price,mark_price,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,data_source
NVDA210528C00280000,NVDA,2021-05-28,280.0,call,342.6,369.85,365.95,1,373.75,1,0,1,2021-05-28,5.56108,0.99881,2e-05,-0.37443,0.00135,0.00765,alpha_vantage
NVDA210528P00280000,NVDA,2021-05-28,280.0,put,0.01,0.01,0.0,0,0.01,100,0,515,2021-05-28,4.7611,-0.00023,1e-05,-0.06999,0.00029,-0.0,alpha_vantage
NVDA210528C00285000,NVDA,2021-05-28,285.0,call,272.75,364.90,361.1,7,368.7,7,0,1,2021-05-28,5.7562,0.99805,3e-05,-0.60714,0.00211,0.00777,alpha_vantage
NVDA210528P00285000,NVDA,2021-05-28,285.0,put,0.1,0.01,0.0,0,0.01,100,0,57,2021-05-28,4.66354,-0.00023,1e-05,-0.06962,0.0003,-0.0,alpha_vantage
NVDA210528C00290000,NVDA,2021-05-28,290.0,call,270.55,359.98,356.25,7,363.7,7,0,1,2021-05-28,5.95132,0.99698,5e-05,-0.9319,0.00313,0.00789,alpha_vantage
NVDA210528P00290000,NVDA,2021-05-28,290.0,put,0.01,0.01,0.0,0,0.01,100,0,99,2021-05-28,4.56599,-0.00024,1e-05,-0.06893,0.0003,-0.0,alpha_vantage
NVDA210528C00295000,NVDA,2021-05-28,295.0,call,0.0,354.88,351.1,1,358.65,1,0,0,2021-05-28,5.4245,0.99827,3e-05,-0.51374,0.00189,0.00805,alpha_vantage
NVDA210528P00295000,NVDA,2021-05-28,295.0,put,0.12,0.01,0.0,0,0.01,100,0,11,2021-05-28,4.48794,-0.00025,1e-05,-0.07167,0.00032,-0.0,alpha_vantage
NVDA210528C00300000,NVDA,2021-05-28,300.0,call,0.0,349.95,346.15,1,353.75,1,0,0,2021-05-28,5.60011,0.99731,4e-05,-0.79046,0.00282,0.00817,alpha_vantage
NVDA210528P00300000,NVDA,2021-05-28,300.0,put,0.11,0.01,0.0,0,0.01,100,0,101,2021-05-28,4.39038,-0.00025,1e-05,-0.07035,0.00032,-0.0,alpha_vantage
NVDA210528C00305000,NVDA,2021-05-28,305.0,call,0.0,344.90,341.1,1,348.7,1,0,0,2021-05-28,5.30743,0.99789,4e-05,-0.60083,0.00226,0.00832,alpha_vantage
NVDA210528P00305000,NVDA,2021-05-28,305.0,put,0.02,0.01,0.0,0,0.01,100,0,94,2021-05-28,4.29282,-0.00025,1e-05,-0.06871,0.00032,-0.0,alpha_vantage
