event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923C00070000,70.0,2022-09-23,call,0.0,61.35,62.3,0,0,0.0,0.99504,0.00042,-0.08584,0.00171,2025-08-13T09:32:47.805615
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923P00070000,70.0,2022-09-23,put,0.0,0.0,0.01,0,0,0.0,-0.00119,0.00014,-0.01865,0.00047,2025-08-13T09:32:47.805628
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923C00075000,75.0,2022-09-23,call,0.0,56.15,61.0,0,0,0.0,0.93765,0.00219,-1.15341,0.01466,2025-08-13T09:32:47.805632
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923P00075000,75.0,2022-09-23,put,0.0,0.0,0.01,0,0,0.0,-0.00127,0.00016,-0.01768,0.0005,2025-08-13T09:32:47.805635
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923C00080000,80.0,2022-09-23,call,0.0,50.75,52.45,0,0,0.0,1.0,0.0,-0.00511,0.0,2025-08-13T09:32:47.805638
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923P00080000,80.0,2022-09-23,put,0.0,0.0,0.01,0,0,0.0,-0.00151,0.00021,-0.01868,0.00059,2025-08-13T09:32:47.805641
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923C00085000,85.0,2022-09-23,call,0.0,44.2,50.8,0,0,0.0,0.95624,0.00252,-0.57385,0.01107,2025-08-13T09:32:47.805644
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923P00085000,85.0,2022-09-23,put,0.0,0.0,0.01,0,0,0.0,-0.00172,0.00027,-0.01864,0.00066,2025-08-13T09:32:47.805647
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923C00090000,90.0,2022-09-23,call,0.0,39.35,45.25,17,0,0.0,0.96092,0.00277,-0.43573,0.0101,2025-08-13T09:32:47.805650
NVDA_2022-09-20_RTX_40_Series,RTX 40 Series,NVDA,2022-09-20,NVDA220923P00090000,90.0,2022-09-23,put,0.0,0.0,0.01,0,0,0.0,-0.00185,0.00033,-0.01738,0.0007,2025-08-13T09:32:47.805653
