event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00065000,65.0,2023-01-06,call,0.0,77.35,79.0,2,0,0.0,1.0,0.0,-0.00771,0.0,2025-08-13T09:29:27.299977
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00065000,65.0,2023-01-06,put,0.0,0.0,0.01,0,0,0.0,-0.00088,8e-05,-0.01879,0.00039,2025-08-13T09:29:27.299991
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00070000,70.0,2023-01-06,call,0.0,72.35,74.05,2,0,0.0,0.99791,0.00018,-0.04944,0.00086,2025-08-13T09:29:27.299999
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00070000,70.0,2023-01-06,put,0.0,0.0,0.01,1,0,0.0,-0.00098,0.0001,-0.01901,0.00043,2025-08-13T09:29:27.300002
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00075000,75.0,2023-01-06,call,0.0,67.35,69.05,0,0,0.0,0.99779,0.0002,-0.04808,0.0009,2025-08-13T09:29:27.300005
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00075000,75.0,2023-01-06,put,0.0,0.0,0.01,0,0,0.0,-0.00111,0.00012,-0.01944,0.00048,2025-08-13T09:29:27.300008
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00080000,80.0,2023-01-06,call,0.0,61.2,64.4,0,0,0.0,1.0,0.0,-0.00949,0.0,2025-08-13T09:29:27.300011
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00080000,80.0,2023-01-06,put,0.0,0.0,0.01,0,0,0.0,-0.00119,0.00014,-0.01869,0.00051,2025-08-13T09:29:27.300014
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00085000,85.0,2023-01-06,call,0.0,57.15,59.2,0,0,0.0,1.0,0.0,-0.01008,0.0,2025-08-13T09:29:27.300017
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00085000,85.0,2023-01-06,put,0.0,0.0,0.01,0,0,0.0,-0.00131,0.00017,-0.0184,0.00056,2025-08-13T09:29:27.300019
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00090000,90.0,2023-01-06,call,0.0,52.2,54.1,0,0,0.0,1.0,0.0,-0.01067,0.0,2025-08-13T09:29:27.300022
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00090000,90.0,2023-01-06,put,0.0,0.0,0.01,0,0,0.0,-0.00151,0.00021,-0.01885,0.00064,2025-08-13T09:29:27.300026
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00095000,95.0,2023-01-06,call,0.0,46.4,49.3,0,0,0.0,1.0,0.0,-0.01127,0.0,2025-08-13T09:29:27.300029
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00095000,95.0,2023-01-06,put,0.0,0.0,0.01,10,0,0.0,-0.00167,0.00026,-0.01833,0.0007,2025-08-13T09:29:27.300032
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00100000,100.0,2023-01-06,call,0.0,41.7,44.35,5,0,0.0,1.0,0.0,-0.01186,0.0,2025-08-13T09:29:27.300035
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106P00100000,100.0,2023-01-06,put,0.0,0.0,0.01,3,0,0.0,-0.00174,0.00031,-0.01673,0.00073,2025-08-13T09:29:27.300038
NVDA_2023-01-03_RTX_4070_Ti,RTX 4070 Ti,NVDA,2023-01-03,NVDA230106C00105000,105.0,2023-01-06,call,0.0,36.95,39.45,0,0,0.0,0.99742,0.00049,-0.03398,0.00104,2025-08-13T09:29:27.300041
