contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA240322C00250000,NVDA,2024-03-22,250.00,call,639.01,634.83,633.15,1,636.50,1,3,3,2024-03-18,4.25380,0.99890,0.00001,-0.21738,0.00341,0.02726
NVDA240322P00250000,NVDA,2024-03-22,250.00,put,0.01,0.01,0.00,0,0.01,200,3,194,2024-03-18,3.45382,-0.00012,0.00000,-0.01845,0.00043,-0.00001
NVDA240322C00260000,NVDA,2024-03-22,260.00,call,616.64,624.88,623.20,1,626.55,1,2,4,2024-03-18,4.23429,0.99858,0.00001,-0.26480,0.00429,0.02832
NVDA240322P00260000,NVDA,2024-03-22,260.00,put,0.01,0.01,0.00,0,0.01,150,0,70,2024-03-18,3.35626,-0.00013,0.00000,-0.01895,0.00045,-0.00001
NVDA240322C00270000,NVDA,2024-03-22,270.00,call,615.30,614.88,613.20,1,616.55,1,0,1,2024-03-18,4.09771,0.99857,0.00001,-0.26092,0.00433,0.02941
NVDA240322P00270000,NVDA,2024-03-22,270.00,put,0.01,0.01,0.00,0,0.01,150,3,48,2024-03-18,3.25870,-0.00013,0.00000,-0.01918,0.00047,-0.00001
NVDA240322C00280000,NVDA,2024-03-22,280.00,call,609.00,604.90,603.20,1,606.60,1,5,1,2024-03-18,4.00015,0.99845,0.00001,-0.27339,0.00465,0.03050
NVDA240322P00280000,NVDA,2024-03-22,280.00,put,0.01,0.01,0.00,0,0.01,1,0,16,2024-03-18,3.16114,-0.00013,0.00000,-0.01913,0.00048,-0.00001
NVDA240322C00290000,NVDA,2024-03-22,290.00,call,0.00,594.88,593.20,1,596.55,1,0,0,2024-03-18,3.82454,0.99859,0.00001,-0.24606,0.00427,0.03161
NVDA240322P00290000,NVDA,2024-03-22,290.00,put,0.02,0.01,0.00,0,0.01,1,0,102,2024-03-18,3.06358,-0.00014,0.00000,-0.01879,0.00049,-0.00001
NVDA240322C00300000,NVDA,2024-03-22,300.00,call,591.70,584.88,583.20,1,586.55,1,0,90,2024-03-18,3.70747,0.99857,0.00001,-0.24453,0.00434,0.03270
NVDA240322P00300000,NVDA,2024-03-22,300.00,put,0.02,0.01,0.00,0,0.01,1,0,102,2024-03-18,2.96603,-0.00014,0.00000,-0.01818,0.00049,-0.00001
NVDA240322C00310000,NVDA,2024-03-22,310.00,call,572.00,574.90,573.20,1,576.60,1,8,4,2024-03-18,3.62942,0.99842,0.00002,-0.26033,0.00475,0.03378
NVDA240322P00310000,NVDA,2024-03-22,310.00,put,0.01,0.01,0.00,0,0.02,25,0,60,2024-03-18,2.88798,-0.00015,0.00000,-0.01893,0.00052,-0.00002
NVDA240322C00320000,NVDA,2024-03-22,320.00,call,563.05,564.92,563.25,1,566.60,1,1,2,2024-03-18,3.55138,0.99826,0.00002,-0.27574,0.00517,0.03486
NVDA240322P00320000,NVDA,2024-03-22,320.00,put,0.01,0.01,0.00,0,0.01,1,1,63,2024-03-18,2.79042,-0.00014,0.00000,-0.01779,0.00051,-0.00001
NVDA240322C00330000,NVDA,2024-03-22,330.00,call,569.40,554.92,553.25,1,556.60,1,0,21,2024-03-18,3.43431,0.99827,0.00002,-0.26863,0.00514,0.03596
NVDA240322P00330000,NVDA,2024-03-22,330.00,put,0.01,0.01,0.00,0,0.01,6,0,19,2024-03-18,2.71237,-0.00015,0.00000,-0.01808,0.00053,-0.00002
NVDA240322C00340000,NVDA,2024-03-22,340.00,call,540.36,544.95,543.30,2,546.60,1,0,2,2024-03-18,3.37577,0.99804,0.00002,-0.29299,0.00577,0.03703
NVDA240322P00340000,NVDA,2024-03-22,340.00,put,0.02,0.01,0.00,0,0.01,1,0,47,2024-03-18,2.63433,-0.00015,0.00000,-0.01817,0.00055,-0.00002
NVDA240322C00350000,NVDA,2024-03-22,350.00,call,564.24,534.98,533.35,2,536.60,1,1,1,2024-03-18,3.31724,0.99778,0.00002,-0.31830,0.00645,0.03809
NVDA240322P00350000,NVDA,2024-03-22,350.00,put,0.01,0.01,0.00,0,0.01,5,0,163,2024-03-18,2.55628,-0.00016,0.00000,-0.01804,0.00057,-0.00002
NVDA240322C00360000,NVDA,2024-03-22,360.00,call,517.47,525.17,523.65,2,526.70,1,0,1,2024-03-18,3.45382,0.99619,0.00004,-0.50503,0.01049,0.03901
NVDA240322P00360000,NVDA,2024-03-22,360.00,put,0.01,0.01,0.00,0,0.01,105,0,189,2024-03-18,2.47823,-0.00016,0.00000,-0.01771,0.00057,-0.00002
NVDA240322C00370000,NVDA,2024-03-22,370.00,call,521.95,515.00,513.35,2,516.65,1,0,7,2024-03-18,3.14163,0.99757,0.00003,-0.32858,0.00700,0.04026
NVDA240322P00370000,NVDA,2024-03-22,370.00,put,0.01,0.01,0.00,0,0.01,100,0,46,2024-03-18,2.41970,-0.00018,0.00000,-0.01908,0.00063,-0.00002
NVDA240322C00380000,NVDA,2024-03-22,380.00,call,0.00,504.98,503.30,1,506.65,1,0,0,2024-03-18,3.02456,0.99766,0.00003,-0.31078,0.00676,0.04137
NVDA240322P00380000,NVDA,2024-03-22,380.00,put,0.01,0.01,0.00,0,0.01,100,0,159,2024-03-18,2.34165,-0.00018,0.00000,-0.01834,0.00063,-0.00002
NVDA240322C00390000,NVDA,2024-03-22,390.00,call,456.32,495.20,493.75,2,496.65,1,0,2,2024-03-18,3.16114,0.99588,0.00004,-0.50162,0.01127,0.04227
NVDA240322P00390000,NVDA,2024-03-22,390.00,put,0.01,0.01,0.00,0,0.01,100,0,81,2024-03-18,2.26360,-0.00017,0.00000,-0.01740,0.00062,-0.00002
NVDA240322C00400000,NVDA,2024-03-22,400.00,call,483.20,485.02,483.40,2,486.65,1,1,65,2024-03-18,2.88798,0.99727,0.00003,-0.33924,0.00779,0.04352
NVDA240322P00400000,NVDA,2024-03-22,400.00,put,0.01,0.01,0.00,0,0.01,199,30,763,2024-03-18,2.20507,-0.00019,0.00000,-0.01826,0.00066,-0.00002
NVDA240322C00410000,NVDA,2024-03-22,410.00,call,469.72,475.07,473.40,2,476.75,1,0,10,2024-03-18,2.84896,0.99683,0.00004,-0.37679,0.00891,0.04457
NVDA240322P00410000,NVDA,2024-03-22,410.00,put,0.01,0.01,0.00,0,0.01,2,0,161,2024-03-18,2.14653,-0.00020,0.00000,-0.01902,0.00071,-0.00002
NVDA240322C00420000,NVDA,2024-03-22,420.00,call,484.80,465.05,463.40,2,466.70,1,5,43,2024-03-18,2.73188,0.99702,0.00004,-0.34887,0.00843,0.04568
NVDA240322P00420000,NVDA,2024-03-22,420.00,put,0.01,0.01,0.00,0,0.06,16,0,210,2024-03-18,2.06849,-0.00019,0.00000,-0.01745,0.00068,-0.00002
NVDA240322C00425000,NVDA,2024-03-22,425.00,call,463.48,460.23,458.75,2,461.70,1,0,20,2024-03-18,2.86847,0.99524,0.00005,-0.52052,0.01281,0.04604
NVDA240322P00425000,NVDA,2024-03-22,425.00,put,0.01,0.01,0.00,0,0.01,4939,1,58,2024-03-18,2.04897,-0.00021,0.00000,-0.01878,0.00073,-0.00002
NVDA240322C00430000,NVDA,2024-03-22,430.00,call,343.00,455.05,453.40,2,456.70,1,0,2,2024-03-18,2.65384,0.99690,0.00004,-0.35155,0.00872,0.04677
NVDA240322P00430000,NVDA,2024-03-22,430.00,put,0.01,0.01,0.00,0,0.04,15,0,199,2024-03-18,2.00995,-0.00020,0.00000,-0.01786,0.00071,-0.00002
NVDA240322C00435000,NVDA,2024-03-22,435.00,call,0.00,450.05,448.40,2,451.70,1,0,0,2024-03-18,2.61481,0.99685,0.00004,-0.35234,0.00885,0.04731
NVDA240322P00435000,NVDA,2024-03-22,435.00,put,0.01,0.01,0.00,0,0.01,4940,10,102,2024-03-18,1.97093,-0.00020,0.00000,-0.01691,0.00069,-0.00002
NVDA240322C00440000,NVDA,2024-03-22,440.00,call,447.51,445.05,443.35,1,446.75,1,0,12,2024-03-18,2.57579,0.99680,0.00004,-0.35275,0.00898,0.04785
NVDA240322P00440000,NVDA,2024-03-22,440.00,put,0.02,0.01,0.00,0,0.02,5,0,273,2024-03-18,1.95142,-0.00021,0.00000,-0.01813,0.00074,-0.00002
NVDA240322C00445000,NVDA,2024-03-22,445.00,call,440.13,440.05,438.40,2,441.70,1,0,3,2024-03-18,2.51726,0.99694,0.00004,-0.33608,0.00863,0.04842
NVDA240322P00445000,NVDA,2024-03-22,445.00,put,0.01,0.01,0.00,0,0.03,10,1,54,2024-03-18,1.91239,-0.00020,0.00000,-0.01707,0.00072,-0.00002
NVDA240322C00450000,NVDA,2024-03-22,450.00,call,437.98,435.07,433.45,2,436.70,1,0,43,2024-03-18,2.49774,0.99671,0.00004,-0.35243,0.00920,0.04894
