event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00045000,45.0,2022-11-04,call,0.0,26.1,26.8,0,0,0.0,0.98738,0.00211,-0.12982,0.00172,2025-08-13T09:31:05.402624
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00045000,45.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00262,0.00067,-0.02459,0.00043,2025-08-13T09:31:05.402636
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00050000,50.0,2022-11-04,call,0.0,21.2,21.9,0,0,0.0,0.97115,0.00466,-0.23657,0.00348,2025-08-13T09:31:05.402639
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00050000,50.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00329,0.00104,-0.02381,0.00053,2025-08-13T09:31:05.402642
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00051000,51.0,2022-11-04,call,0.0,20.2,20.9,0,0,0.0,0.96936,0.00513,-0.23789,0.00366,2025-08-13T09:31:05.402644
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00051000,51.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00338,0.00112,-0.02308,0.00054,2025-08-13T09:31:05.402647
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00052000,52.0,2022-11-04,call,0.0,19.1,19.8,0,0,0.0,0.98329,0.00377,-0.11885,0.00219,2025-08-13T09:31:05.402650
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00052000,52.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00378,0.0013,-0.02433,0.00059,2025-08-13T09:31:05.402652
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00053000,53.0,2022-11-04,call,0.0,18.2,19.1,0,0,0.0,0.95459,0.00718,-0.32161,0.00504,2025-08-13T09:31:05.402655
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00053000,53.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00384,0.0014,-0.02321,0.0006,2025-08-13T09:31:05.402658
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00054000,54.0,2022-11-04,call,0.0,17.2,17.8,0,0,0.0,0.9723,0.00588,-0.17669,0.00336,2025-08-13T09:31:05.402661
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00054000,54.0,2022-11-04,put,0.0,0.0,2.15,0,0,0.0,-0.00427,0.00162,-0.02425,0.00066,2025-08-13T09:31:05.402664
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00055000,55.0,2022-11-04,call,0.0,16.2,16.9,0,0,0.0,0.9624,0.0075,-0.22824,0.00433,2025-08-13T09:31:05.402667
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00055000,55.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00428,0.00175,-0.0227,0.00067,2025-08-13T09:31:05.402670
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104C00056000,56.0,2022-11-04,call,0.0,15.2,15.9,0,0,0.0,0.96014,0.00833,-0.22592,0.00454,2025-08-13T09:31:05.402673
SONY_2022-11-02_PSVR2,PSVR2,SONY,2022-11-02,SONY221104P00056000,56.0,2022-11-04,put,0.0,0.0,0.05,0,0,0.0,-0.00476,0.00203,-0.02349,0.00073,2025-08-13T09:31:05.402675
