event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00050000,50.0,2023-10-13,call,0.0,33.1,36.2,0,0,0.0,0.99665,0.00059,-0.036,0.00078,2025-08-13T00:08:33.416594
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00050000,50.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00201,0.0004,-0.01701,0.00049,2025-08-13T00:08:33.416607
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00055000,55.0,2023-10-13,call,0.0,28.1,31.1,0,0,0.0,1.0,0.0,-0.00803,0.0,2025-08-13T00:08:33.416611
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00055000,55.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00242,0.00057,-0.01673,0.00058,2025-08-13T00:08:33.416615
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00060000,60.0,2023-10-13,call,0.0,23.4,25.9,0,0,0.0,0.99609,0.00103,-0.03042,0.00089,2025-08-13T00:08:33.416620
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00060000,60.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00284,0.00081,-0.01562,0.00067,2025-08-13T00:08:33.416624
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00065000,65.0,2023-10-13,call,0.0,18.8,20.3,0,0,0.0,1.0,0.0,-0.00949,0.0,2025-08-13T00:08:33.416629
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00065000,65.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.0038,0.00133,-0.01605,0.00087,2025-08-13T00:08:33.416633
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00069000,69.0,2023-10-13,call,0.0,14.9,16.8,0,0,0.0,0.95447,0.009,-0.17896,0.00734,2025-08-13T00:08:33.416637
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00069000,69.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00457,0.00198,-0.01493,0.00102,2025-08-13T00:08:33.416641
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00070000,70.0,2023-10-13,call,0.0,14.1,15.6,0,0,0.0,0.95175,0.00999,-0.17716,0.00769,2025-08-13T00:08:33.416645
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00070000,70.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00475,0.0022,-0.01441,0.00106,2025-08-13T00:08:33.416650
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00071000,71.0,2023-10-13,call,0.0,13.4,14.9,0,0,0.0,0.91036,0.01387,-0.32424,0.01242,2025-08-13T00:08:33.416654
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00071000,71.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00491,0.00244,-0.01378,0.00109,2025-08-13T00:08:33.416658
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00072000,72.0,2023-10-13,call,0.0,12.1,13.6,0,0,0.0,0.94547,0.01251,-0.17246,0.00848,2025-08-13T00:08:33.416662
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00072000,72.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00613,0.00313,-0.01593,0.00133,2025-08-13T00:08:33.416666
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00073000,73.0,2023-10-13,call,0.0,11.1,12.9,0,0,0.0,0.91989,0.01603,-0.23983,0.01142,2025-08-13T00:08:33.416670
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00073000,73.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00638,0.00353,-0.01515,0.00138,2025-08-13T00:08:33.416675
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00074000,74.0,2023-10-13,call,0.0,10.4,11.6,0,0,0.0,0.91328,0.01819,-0.23826,0.01212,2025-08-13T00:08:33.416679
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00074000,74.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00661,0.00399,-0.01425,0.00142,2025-08-13T00:08:33.416683
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00075000,75.0,2023-10-13,call,0.0,9.2,10.8,0,0,0.0,0.90943,0.02056,-0.22554,0.01252,2025-08-13T00:08:33.416687
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00075000,75.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00682,0.00454,-0.01322,0.00146,2025-08-13T00:08:33.416691
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00076000,76.0,2023-10-13,call,0.0,7.8,9.6,0,0,0.0,0.96957,0.01394,-0.06741,0.00528,2025-08-13T00:08:33.416695
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00076000,76.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00699,0.0052,-0.01206,0.00149,2025-08-13T00:08:33.416699
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00077000,77.0,2023-10-13,call,0.0,7.0,8.8,0,0,0.0,0.91011,0.02643,-0.17608,0.01245,2025-08-13T00:08:33.416703
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00077000,77.0,2023-10-13,put,0.0,0.0,0.05,0,0,0.0,-0.00948,0.00738,-0.01448,0.00195,2025-08-13T00:08:33.416708
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00078000,78.0,2023-10-13,call,0.0,5.5,7.6,0,0,0.0,1.0,0.0,-0.01139,0.0,2025-08-13T00:08:33.416712
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00078000,78.0,2023-10-13,put,0.0,0.0,0.1,0,0,0.0,-0.00996,0.00887,-0.01313,0.00204,2025-08-13T00:08:33.416716
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00079000,79.0,2023-10-13,call,0.0,5.3,6.8,0,0,0.0,0.86154,0.03988,-0.21372,0.01695,2025-08-13T00:08:33.416720
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00079000,79.0,2023-10-13,put,0.0,0.0,0.1,0,0,0.0,-0.01046,0.01089,-0.01164,0.00213,2025-08-13T00:08:33.416724
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00080000,80.0,2023-10-13,call,0.0,3.5,4.9,0,0,0.0,1.0,0.0,-0.01168,0.0,2025-08-13T00:08:33.416728
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00080000,80.0,2023-10-13,put,0.0,0.0,0.1,0,0,0.0,-0.011,0.01381,-0.00999,0.00222,2025-08-13T00:08:33.416732
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00081000,81.0,2023-10-13,call,0.0,3.4,3.9,0,0,0.0,0.99371,0.01183,-0.01617,0.00136,2025-08-13T00:08:33.416742
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00081000,81.0,2023-10-13,put,0.0,0.05,0.1,2,0,0.0,-0.06964,0.05252,-0.05588,0.01026,2025-08-13T00:08:33.416746
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00082000,82.0,2023-10-13,call,0.0,2.45,2.9,2,0,0.0,0.96428,0.05243,-0.03115,0.00603,2025-08-13T00:08:33.416750
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00082000,82.0,2023-10-13,put,0.0,0.1,0.2,0,0,0.0,-0.12801,0.08733,-0.082,0.01605,2025-08-13T00:08:33.416754
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00083000,83.0,2023-10-13,call,0.0,1.6,2.05,1,0,0.0,0.8252,0.14327,-0.08712,0.01976,2025-08-13T00:08:33.416759
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00083000,83.0,2023-10-13,put,0.0,0.2,0.3,2,0,0.0,-0.21037,0.13756,-0.09821,0.02213,2025-08-13T00:08:33.416763
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00084000,84.0,2023-10-13,call,0.0,1.1,1.25,20,0,0.0,0.62627,0.18061,-0.13996,0.02906,2025-08-13T00:08:33.416767
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00084000,84.0,2023-10-13,put,0.0,0.45,0.55,0,0,0.0,-0.36509,0.19301,-0.11743,0.02883,2025-08-13T00:08:33.416771
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013C00085000,85.0,2023-10-13,call,0.0,0.55,0.65,9,0,0.0,0.4328,0.20193,-0.13291,0.03017,2025-08-13T00:08:33.416775
SONY_2023-10-10_PS5_Slim_Refresh,PS5 Slim Refresh,SONY,2023-10-10,SONY231013P00085000,85.0,2023-10-13,put,0.0,0.85,1.0,0,0,0.0,-0.57346,0.21812,-0.11029,0.03008,2025-08-13T00:08:33.416779
