event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925C00020000,20.0,2020-09-25,call,0.0,398.15,413.75,1,0,0.0,0.99993,0.0,-0.01702,0.0001,2025-08-14T14:03:11.562939
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925P00020000,20.0,2020-09-25,put,0.0,0.0,0.01,2,0,0.0,-7e-05,0.0,-0.01697,0.0001,2025-08-14T14:03:11.562962
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925C00040000,40.0,2020-09-25,call,0.0,378.15,393.75,1,0,0.0,0.99889,1e-05,-0.23666,0.00142,2025-08-14T14:03:11.562968
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925P00040000,40.0,2020-09-25,put,0.0,0.0,0.01,0,0,0.0,-0.00011,0.0,-0.02264,0.00017,2025-08-14T14:03:11.562973
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925C00060000,60.0,2020-09-25,call,0.0,358.15,373.75,0,0,0.0,0.9955,3e-05,-0.84228,0.00506,2025-08-14T14:03:11.562979
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925P00060000,60.0,2020-09-25,put,0.0,0.0,0.01,0,0,0.0,-0.00014,0.0,-0.02247,0.00021,2025-08-14T14:03:11.562984
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925C00080000,80.0,2020-09-25,call,0.0,338.15,353.75,0,0,0.0,0.99013,7e-05,-1.64465,0.01013,2025-08-14T14:03:11.562989
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925P00080000,80.0,2020-09-25,put,0.0,0.0,0.01,24,0,0.0,-0.00017,0.0,-0.02305,0.00025,2025-08-14T14:03:11.562993
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925C00100000,100.0,2020-09-25,call,0.0,318.5,333.7,0,0,0.0,0.98764,0.0001,-1.76349,0.01232,2025-08-14T14:03:11.562998
TSLA_2020-09-22_Battery_Day,Battery Day,TSLA,2020-09-22,TSLA200925P00100000,100.0,2020-09-25,put,0.0,0.0,0.01,356,0,0.0,-0.00019,0.0,-0.02234,0.00028,2025-08-14T14:03:11.563003
