event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00020000,20.0,2021-05-21,call,0.0,565.75,567.6,0,0,0.0,1.0,0.0,-3e-05,0.0,2025-08-14T14:02:10.125355
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00020000,20.0,2021-05-21,put,0.0,0.0,0.01,1,0,0.0,-0.0,0.0,-0.0,0.0,2025-08-14T14:02:10.125415
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00050000,50.0,2021-05-21,call,0.0,536.0,537.2,0,0,0.0,1.0,0.0,-8e-05,0.0,2025-08-14T14:02:10.125429
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00050000,50.0,2021-05-21,put,0.0,0.0,0.01,0,0,0.0,-0.0,0.0,-0.00026,0.0,2025-08-14T14:02:10.125434
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00100000,100.0,2021-05-21,call,0.0,485.75,487.45,0,0,0.0,1.0,0.0,-0.00016,0.0,2025-08-14T14:02:10.125438
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00100000,100.0,2021-05-21,put,0.0,0.0,0.01,12,0,0.0,-0.00012,0.0,-0.07046,0.00014,2025-08-14T14:02:10.125443
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00150000,150.0,2021-05-21,call,0.0,436.05,437.25,0,0,0.0,1.0,0.0,-0.00025,0.0,2025-08-14T14:02:10.125447
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00150000,150.0,2021-05-21,put,0.0,0.0,0.01,1,0,0.0,-0.00015,0.0,-0.07004,0.00018,2025-08-14T14:02:10.125450
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00200000,200.0,2021-05-21,call,0.0,385.75,387.45,0,0,0.0,1.0,0.0,-0.00033,0.0,2025-08-14T14:02:10.125454
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00200000,200.0,2021-05-21,put,0.0,0.0,0.01,20,0,0.0,-0.0002,0.0,-0.07161,0.00024,2025-08-14T14:02:10.125458
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00250000,250.0,2021-05-21,call,0.0,335.75,337.45,4,0,0.0,1.0,0.0,-0.00041,0.0,2025-08-14T14:02:10.125461
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00250000,250.0,2021-05-21,put,0.0,0.0,0.01,102,0,0.0,-0.00025,1e-05,-0.06933,0.00029,2025-08-14T14:02:10.125465
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00300000,300.0,2021-05-21,call,0.0,285.75,287.45,0,0,0.0,1.0,0.0,-0.00049,0.0,2025-08-14T14:02:10.125474
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00300000,300.0,2021-05-21,put,0.0,0.0,0.01,135,0,0.0,-0.00031,1e-05,-0.06864,0.00036,2025-08-14T14:02:10.125477
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00310000,310.0,2021-05-21,call,0.0,276.0,277.2,2,0,0.0,1.0,0.0,-0.00051,0.0,2025-08-14T14:02:10.125480
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00310000,310.0,2021-05-21,put,0.0,0.0,0.01,0,0,0.0,-0.00033,1e-05,-0.06931,0.00038,2025-08-14T14:02:10.125484
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00320000,320.0,2021-05-21,call,0.0,266.05,267.25,1,0,0.0,1.0,0.0,-0.00053,0.0,2025-08-14T14:02:10.125491
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00320000,320.0,2021-05-21,put,0.0,0.0,0.03,0,0,0.0,-0.00035,1e-05,-0.06876,0.00039,2025-08-14T14:02:10.125495
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00330000,330.0,2021-05-21,call,0.0,256.05,257.25,0,0,0.0,1.0,0.0,-0.00054,0.0,2025-08-14T14:02:10.125499
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00330000,330.0,2021-05-21,put,0.0,0.0,0.17,0,0,0.0,-0.00036,1e-05,-0.06694,0.0004,2025-08-14T14:02:10.125503
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00340000,340.0,2021-05-21,call,0.0,246.05,247.25,0,0,0.0,1.0,0.0,-0.00056,0.0,2025-08-14T14:02:10.125507
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00340000,340.0,2021-05-21,put,0.0,0.0,0.17,2,0,0.0,-0.00039,1e-05,-0.06865,0.00043,2025-08-14T14:02:10.125511
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00350000,350.0,2021-05-21,call,0.0,236.05,237.25,13,0,0.0,1.0,0.0,-0.00058,0.0,2025-08-14T14:02:10.125519
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00350000,350.0,2021-05-21,put,0.0,0.0,0.01,847,0,0.0,-0.00041,2e-05,-0.06934,0.00046,2025-08-14T14:02:10.125522
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00360000,360.0,2021-05-21,call,0.0,226.05,227.25,0,0,0.0,1.0,0.0,-0.00059,0.0,2025-08-14T14:02:10.125529
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521P00360000,360.0,2021-05-21,put,0.0,0.0,0.17,0,0,0.0,-0.00044,2e-05,-0.06893,0.00048,2025-08-14T14:02:10.125532
TSLA_2021-05-20_Model_S_Plaid_Delivery,Model S Plaid Delivery,TSLA,2021-05-20,TSLA210521C00370000,370.0,2021-05-21,call,0.0,216.05,217.25,0,0,0.0,1.0,0.0,-0.00061,0.0,2025-08-14T14:02:10.125536
