contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
TSLA220930C00100000,TSLA,2022-09-30,100.00,call,166.85,165.25,164.75,2,165.75,15,429,579,2022-09-30,0.01976,1.00000,0.00000,-0.00844,0.00000,0.00274
TSLA220930P00100000,TSLA,2022-09-30,100.00,put,0.01,0.01,0.00,0,0.01,1199,0,7872,2022-09-30,5.87327,-0.00044,0.00002,-0.06418,0.00022,-0.00000
TSLA220930C00108330,TSLA,2022-09-30,108.33,call,180.80,157.23,156.15,1,158.30,1,0,40,2022-09-30,7.66835,0.99249,0.00019,-1.11257,0.00288,0.00290
TSLA220930P00108330,TSLA,2022-09-30,108.33,put,0.01,0.01,0.00,0,0.01,1015,0,3628,2022-09-30,5.40499,-0.00047,0.00002,-0.06314,0.00023,-0.00000
TSLA220930C00116670,TSLA,2022-09-30,116.67,call,173.00,149.00,147.80,1,150.20,1,0,27,2022-09-30,7.39519,0.98971,0.00027,-1.41239,0.00379,0.00311
TSLA220930P00116670,TSLA,2022-09-30,116.67,put,0.01,0.01,0.00,0,0.01,815,1,1897,2022-09-30,4.97573,-0.00051,0.00003,-0.06268,0.00025,-0.00000
TSLA220930C00125000,TSLA,2022-09-30,125.00,call,151.35,140.70,139.75,1,141.65,1,0,17,2022-09-30,6.90739,0.98815,0.00032,-1.49174,0.00429,0.00333
TSLA220930P00125000,TSLA,2022-09-30,125.00,put,0.01,0.01,0.00,0,0.01,800,0,1989,2022-09-30,4.58550,-0.00057,0.00003,-0.06354,0.00028,-0.00000
TSLA220930C00133330,TSLA,2022-09-30,133.33,call,145.00,132.20,131.05,1,133.35,1,0,31,2022-09-30,5.93181,0.99113,0.00029,-0.99947,0.00333,0.00358
TSLA220930P00133330,TSLA,2022-09-30,133.33,put,0.01,0.01,0.00,0,0.01,754,0,359,2022-09-30,4.19526,-0.00059,0.00004,-0.06052,0.00029,-0.00000
TSLA220930C00140000,TSLA,2022-09-30,140.00,call,140.35,125.45,124.50,1,126.40,1,0,1,2022-09-30,5.28792,0.99281,0.00027,-0.74434,0.00277,0.00378
TSLA220930P00140000,TSLA,2022-09-30,140.00,put,0.01,0.01,0.00,0,0.01,754,0,146,2022-09-30,3.92210,-0.00065,0.00004,-0.06168,0.00031,-0.00001
TSLA220930C00141670,TSLA,2022-09-30,141.67,call,132.60,123.90,122.80,1,125.00,1,0,14,2022-09-30,5.56108,0.98929,0.00037,-1.10407,0.00393,0.00379
TSLA220930P00141670,TSLA,2022-09-30,141.67,put,0.01,0.01,0.00,0,0.01,52,0,564,2022-09-30,3.84405,-0.00065,0.00004,-0.06002,0.00031,-0.00000
TSLA220930C00150000,TSLA,2022-09-30,150.00,call,119.95,115.40,114.75,1,116.05,15,4,18,2022-09-30,4.58550,0.99371,0.00028,-0.57697,0.00246,0.00406
TSLA220930P00150000,TSLA,2022-09-30,150.00,put,0.01,0.01,0.00,0,0.01,799,6,4406,2022-09-30,3.51235,-0.00070,0.00005,-0.05942,0.00034,-0.00001
TSLA220930C00158330,TSLA,2022-09-30,158.33,call,108.85,107.00,106.55,15,107.45,15,12,44,2022-09-30,3.84405,0.99616,0.00021,-0.31831,0.00159,0.00431
TSLA220930P00158330,TSLA,2022-09-30,158.33,put,0.01,0.01,0.00,0,0.01,415,0,5564,2022-09-30,3.20017,-0.00078,0.00006,-0.05924,0.00037,-0.00001
TSLA220930C00160000,TSLA,2022-09-30,160.00,call,124.05,105.45,104.85,1,106.05,1,0,54,2022-09-30,4.27331,0.99116,0.00040,-0.72321,0.00332,0.00431
TSLA220930P00160000,TSLA,2022-09-30,160.00,put,0.01,0.01,0.00,0,0.01,757,0,5071,2022-09-30,3.14163,-0.00080,0.00006,-0.05963,0.00038,-0.00001
TSLA220930C00166670,TSLA,2022-09-30,166.67,call,107.60,98.62,98.10,15,99.15,9,1,77,2022-09-30,3.16114,0.99808,0.00014,-0.14790,0.00085,0.00455
TSLA220930P00166670,TSLA,2022-09-30,166.67,put,0.01,0.01,0.00,0,0.01,754,0,1227,2022-09-30,2.90749,-0.00087,0.00007,-0.06005,0.00041,-0.00001
TSLA220930C00170000,TSLA,2022-09-30,170.00,call,112.20,95.47,94.50,1,96.45,1,0,83,2022-09-30,3.86356,0.98932,0.00053,-0.77140,0.00392,0.00457
TSLA220930P00170000,TSLA,2022-09-30,170.00,put,0.01,0.01,0.00,0,0.01,761,0,1323,2022-09-30,2.79042,-0.00091,0.00008,-0.05954,0.00043,-0.00001
TSLA220930C00175000,TSLA,2022-09-30,175.00,call,97.95,90.53,89.95,1,91.10,1,5,24,2022-09-30,3.76601,0.98641,0.00067,-0.92407,0.00483,0.00469
TSLA220930P00175000,TSLA,2022-09-30,175.00,put,0.01,0.01,0.00,0,0.01,515,1,3361,2022-09-30,2.61481,-0.00094,0.00009,-0.05788,0.00044,-0.00001
TSLA220930C00180000,TSLA,2022-09-30,180.00,call,88.65,85.42,84.55,1,86.30,1,11,22,2022-09-30,3.27821,0.99051,0.00056,-0.59449,0.00354,0.00486
TSLA220930P00180000,TSLA,2022-09-30,180.00,put,0.01,0.01,0.00,0,0.01,761,20,4288,2022-09-30,2.45872,-0.00104,0.00010,-0.05972,0.00049,-0.00001
TSLA220930C00183330,TSLA,2022-09-30,183.33,call,84.65,82.00,81.60,15,82.40,25,28,59,2022-09-30,2.82944,0.99490,0.00037,-0.30456,0.00204,0.00498
TSLA220930P00183330,TSLA,2022-09-30,183.33,put,0.01,0.01,0.00,0,0.01,754,8,2946,2022-09-30,2.34165,-0.00105,0.00011,-0.05722,0.00049,-0.00001
