event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00020000,20.0,2023-09-01,call,0.0,224.2,226.1,56,0,0.0,1.0,0.0,-0.00299,0.0,2025-08-13T09:24:13.515407
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00020000,20.0,2023-09-01,put,0.0,0.0,0.01,2,0,0.0,-0.0,0.0,-7e-05,0.0,2025-08-13T09:24:13.515419
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00030000,30.0,2023-09-01,call,0.0,214.1,216.05,42,0,0.0,0.99999,0.0,-0.00709,1e-05,2025-08-13T09:24:13.515422
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00030000,30.0,2023-09-01,put,0.0,0.0,0.01,0,0,0.0,-1e-05,0.0,-0.00271,1e-05,2025-08-13T09:24:13.515425
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00040000,40.0,2023-09-01,call,0.0,203.8,206.1,7,0,0.0,1.0,0.0,-0.00584,0.0,2025-08-13T09:24:13.515427
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00040000,40.0,2023-09-01,put,0.0,0.0,0.01,0,0,0.0,-0.0001,0.0,-0.02454,5e-05,2025-08-13T09:24:13.515430
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00050000,50.0,2023-09-01,call,0.0,194.1,196.05,31,0,0.0,0.99952,1e-05,-0.11726,0.00022,2025-08-13T09:24:13.515435
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00050000,50.0,2023-09-01,put,0.0,0.0,0.01,0,0,0.0,-0.00029,1e-05,-0.06451,0.00014,2025-08-13T09:24:13.515438
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00060000,60.0,2023-09-01,call,0.0,184.1,186.1,28,0,0.0,0.99842,4e-05,-0.33586,0.00065,2025-08-13T09:24:13.515441
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00060000,60.0,2023-09-01,put,0.0,0.0,0.01,0,0,0.0,-0.00033,1e-05,-0.06441,0.00015,2025-08-13T09:24:13.515444
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00070000,70.0,2023-09-01,call,0.0,174.1,176.1,14,0,0.0,0.99795,6e-05,-0.38794,0.00083,2025-08-13T09:24:13.515447
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00070000,70.0,2023-09-01,put,0.0,0.0,0.01,0,0,0.0,-0.00036,1e-05,-0.06285,0.00017,2025-08-13T09:24:13.515450
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901C00080000,80.0,2023-09-01,call,0.0,164.5,166.1,13,0,0.0,0.99392,0.00014,-1.05508,0.00221,2025-08-13T09:24:13.515454
TSLA_2023-09-01_Model_3_Highland_Refresh,Model 3 Highland Refresh,TSLA,2023-09-01,TSLA230901P00080000,80.0,2023-09-01,put,0.0,0.0,0.01,0,0,0.0,-0.00041,2e-05,-0.06432,0.00019,2025-08-13T09:24:13.515457
