event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
iPhone 12,AAPL,Apple,Consumer Hardware,2020-10-13,2020-10-23,0.002528342599013972,1.2161437492197136,0.4121821340738652,82,0.010590362114070155,0.01964276403076795,0.01964276403076795,-0.01511599169816112,-0.03644023714652074,-0.03644023714652074,0.053318191890095346,-0.026527329415805045,-0.026527329415805045,0.0007432103604625429,-0.01717609338064141,-0.01717609338064141,0.04314363056477477,17727810253.385086,0.1531257997689221,145878610.0,152172342.85714287,0.7033683029127663,0.5324998873001426,False,False,0.6833333333333333,2025-08-12T23:32:11.145105
iPhone 13,AAPL,Apple,Consumer Hardware,2021-09-14,2021-09-24,0.00030863429154711795,1.332562657205945,0.5289255152729921,83,-0.025657761243978346,-0.0016618652434642854,-0.0016618652434642854,-0.007670184112689833,-0.014038244805746117,-0.014038244805746117,-0.03861906808330173,-0.009562226018013598,-0.009562226018013598,0.006143686542344318,-0.013907793560599124,-0.013907793560599124,0.2599795937198335,14422867820.868168,0.10086702946715555,78355430.0,98726242.85714285,-1.457346982197931,0.24107532614088978,False,False,0.6916666666666667,2025-08-12T23:32:11.257282
iPhone 14,AAPL,Apple,Consumer Hardware,2022-09-07,2022-09-16,0.001042903032479912,1.3031846920409669,0.8291471101812834,82,-0.02027447124881041,-0.019612049859772624,-0.019612049859772624,-0.034966386049636033,-0.037070989020237546,-0.013399218619638699,0.0009628468832718617,0.00925415779119887,0.00925415779119887,-0.009618014422350663,0.009040603607972875,0.04789667427272071,0.1487668637652193,12771800742.374676,0.07938206351647013,71965690.0,82671800.0,-0.6073074415783268,0.605413376380011,False,False,0.6833333333333333,2025-08-12T23:32:11.367729
iPhone 15,AAPL,Apple,Consumer Hardware,2023-09-12,2023-09-22,-4.578483545613146e-05,1.0945451845901284,0.44725416804692997,82,-0.035183929201525084,-0.011471157691026707,-0.011471157691026707,-0.02394845422623578,-0.015145946389747526,-0.015145946389747526,-0.007096159583494854,-0.017060580981018147,-0.017060580981018147,-0.011854824415893694,-0.00731712603579604,-0.00731712603579604,0.2969456860944415,14537153486.084421,0.08387831902127015,64083155.0,83112371.42857143,-1.059636957278742,0.36707022970498326,False,False,0.6833333333333333,2025-08-12T23:32:11.479181
M1 Mac Launch,AAPL,Apple,Computing Hardware,2020-06-22,2020-11-10,0.0016876378284124672,1.0709734224840062,0.8721052917107693,84,0.015018629971796631,0.016168206018404845,0.01751995416398906,0.03256417886986523,0.04076534782615229,0.03429808479431511,0.02070582749649219,0.026163666689763776,0.0,0.021344994412350937,0.01663577987115117,-0.014601367660298958,0.1427275648590698,14722980119.680166,0.17151501145925166,148625320.0,169838250.0,0.6741360366259144,0.5485211502085269,False,False,0.7,2025-08-12T23:32:11.589289
MacBook Pro M1 Pro/Max,AAPL,Apple,Computing Hardware,2021-10-18,2021-10-26,0.0006686388599023711,1.372284163217966,0.4308663868349851,83,-0.009802009637862898,0.0031129243005046017,0.006506428218115274,0.010772065500655617,0.0051307972982620135,0.0006487965731401951,0.04002572863699072,0.011806209895732778,0.0,0.015080038922130612,0.019993271904094723,0.014602393036729167,-0.08285541986816192,9993131908.388662,0.06865128240924304,75956045.0,69662675.0,1.7329371878179105,0.18152730146873683,False,False,0.6916666666666667,2025-08-12T23:32:11.702500
Apple Watch Series 8,AAPL,Apple,Wearables,2022-09-07,2022-09-16,0.001042903032479912,1.3031846920409669,0.8291471101812834,82,-0.02027447124881041,-0.019612049859772624,-0.019612049859772624,-0.034966386049636033,-0.037070989020237546,-0.013399218619638699,0.0009628468832718617,0.00925415779119887,0.00925415779119887,-0.009618014422350663,0.009040603607972875,0.04789667427272071,0.1487668637652193,12771800742.374676,0.07938206351647013,71965690.0,82671800.0,-0.6073074415783268,0.605413376380011,False,False,0.6833333333333333,2025-08-12T23:32:11.813110
Vision Pro Announcement,AAPL,Apple,Mixed Reality,2023-06-05,,0.0028453070610001538,1.1847420332170375,0.6563905459052999,83,-0.017720104113964137,-0.023332062437462817,-0.008042688268861285,-0.01573705552633075,-0.016534498043471083,-0.01858030225367215,0.013145293559420734,-0.007571108588914632,0.0,-0.0020603002986490093,0.005512978689037329,0.007684542077208922,0.2162399840452962,12837998117.493439,0.07173547667502578,59443285.0,72297300.0,0.6526640004341677,0.5605250109075062,False,False,0.6916666666666667,2025-08-12T23:32:11.925257
Vision Pro US Launch,AAPL,Apple,Mixed Reality,2024-01-08,2024-02-02,0.0008090049175834045,1.109905350096556,0.5099497583778715,84,-0.008251691082096006,0.0008515292732373565,0.00769996132783873,0.006267870605599033,0.001554795662692305,0.0016903658696283642,0.007109870979030264,0.024174868831050578,0.0,-0.0022634156761977,0.0001616251613141273,0.0019399994991196046,-0.015691652517167975,9858484071.34285,0.05347434664824212,54754590.0,53895400.0,-0.0007861060478821521,0.9994221294406052,False,False,0.7,2025-08-12T23:32:12.040663
RTX 30 Series,NVDA,NVIDIA,Semiconductor Hardware,2020-09-01,2020-09-17,0.003456138980099773,1.065987902568241,0.4251144828648836,82,0.05227893764399638,0.03834592093843161,0.03834592093843161,0.04040156380010796,-0.04336708631335598,-0.04336708631335598,0.09477815083429308,0.03369347508929499,0.03369347508929499,0.03802180319048731,-0.0867157060125221,-0.0867157060125221,0.2357195311845366,9738970777.614672,0.7738679337244445,595343600.0,735677714.2857143,1.7355185822168242,0.18105409326673005,False,False,0.6833333333333333,2025-08-12T23:32:12.152898
